 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.    Time:   4:39: 6
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46  -450.0000    -899.056 0.5242   0.4073E-02  0.9178E-04 -0.1300E-01  0.0000E+00      -1  -0.305E-02   20.00
  47  -460.0000    -921.238 0.5221   0.3809E-02  0.8949E-04 -0.1235E-01  0.0000E+00      -1  -0.290E-02   20.00
  48  -470.0000    -943.936 0.5199   0.3539E-02  0.8715E-04 -0.1172E-01  0.0000E+00      -1  -0.275E-02   20.00
  49  -480.0000    -967.163 0.5179   0.3340E-02  0.8517E-04 -0.1124E-01  0.0000E+00      -1  -0.264E-02   20.00
  50  -490.0000    -990.937 0.5161   0.3204E-02  0.8349E-04 -0.1091E-01  0.0000E+00      -1  -0.256E-02   20.00
  51  -500.0000   -1015.272 0.5142   0.3064E-02  0.8178E-04 -0.1061E-01  0.0000E+00      -1  -0.249E-02   20.00
  52  -510.0000   -1040.200 0.5123   0.2921E-02  0.8002E-04 -0.1028E-01  0.0000E+00      -1  -0.241E-02   20.00
  53  -520.0000   -1065.714 0.5104   0.2775E-02  0.7822E-04 -0.9936E-02  0.0000E+00      -1  -0.233E-02   20.00
  54  -530.0000   -1091.843 0.5084   0.2625E-02  0.7637E-04 -0.9563E-02  0.0000E+00      -1  -0.224E-02   20.00
  55  -540.0000   -1118.608 0.5063   0.2472E-02  0.7448E-04 -0.9163E-02  0.0000E+00      -1  -0.215E-02   20.00
  56  -550.0000   -1146.027 0.5042   0.2315E-02  0.7255E-04 -0.8734E-02  0.0000E+00      -1  -0.205E-02   20.00
  57  -560.0000   -1174.122 0.5021   0.2154E-02  0.7057E-04 -0.8273E-02  0.0000E+00      -1  -0.194E-02   20.00
  58  -570.0000   -1202.913 0.4999   0.1989E-02  0.6854E-04 -0.7864E-02  0.0000E+00      -1  -0.185E-02   20.00
  59  -580.0000   -1232.437 0.4980   0.1904E-02  0.6712E-04 -0.7598E-02  0.0000E+00      -1  -0.178E-02   20.00
  60  -590.0000   -1262.688 0.4962   0.1823E-02  0.6570E-04 -0.7404E-02  0.0000E+00      -1  -0.174E-02   20.00
  61  -600.0000   -1293.703 0.4943   0.1740E-02  0.6425E-04 -0.7200E-02  0.0000E+00      -1  -0.169E-02   20.00
  62  -610.0000   -1325.507 0.4924   0.1654E-02  0.6276E-04 -0.6978E-02  0.0000E+00      -1  -0.164E-02   20.00
  63  -620.0000   -1358.126 0.4904   0.1566E-02  0.6123E-04 -0.6736E-02  0.0000E+00      -1  -0.158E-02   20.00
  64  -630.0000   -1391.586 0.4884   0.1476E-02  0.5967E-04 -0.6475E-02  0.0000E+00      -1  -0.152E-02   20.00
  65  -640.0000   -1425.914 0.4863   0.1384E-02  0.5806E-04 -0.6192E-02  0.0000E+00      -1  -0.145E-02   20.00
  66  -650.0000   -1461.156 0.4842   0.1289E-02  0.5641E-04 -0.5885E-02  0.0000E+00      -1  -0.138E-02   20.00
  67  -660.0000   -1497.307 0.4820   0.1192E-02  0.5472E-04 -0.5576E-02  0.0000E+00      -1  -0.131E-02   20.00
  68  -670.0000   -1534.414 0.4800   0.1113E-02  0.5322E-04 -0.5333E-02  0.0000E+00      -1  -0.125E-02   20.00
  69  -680.0000   -1572.508 0.4782   0.1066E-02  0.5207E-04 -0.5177E-02  0.0000E+00      -1  -0.122E-02   20.00
  70  -690.0000   -1611.624 0.4763   0.1017E-02  0.5089E-04 -0.5047E-02  0.0000E+00      -1  -0.118E-02   20.00
  71  -700.0000   -1651.795 0.4744   0.9674E-03  0.4967E-04 -0.4903E-02  0.0000E+00      -1  -0.115E-02   20.00
  72  -710.0000   -1693.058 0.4725   0.9163E-03  0.4842E-04 -0.4747E-02  0.0000E+00      -1  -0.111E-02   20.00
  73  -720.0000   -1735.469 0.4705   0.8638E-03  0.4714E-04 -0.4573E-02  0.0000E+00      -1  -0.107E-02   20.00
  74  -730.0000   -1779.025 0.4684   0.8098E-03  0.4582E-04 -0.4382E-02  0.0000E+00      -1  -0.103E-02   20.00
  75  -740.0000   -1823.788 0.4663   0.7544E-03  0.4447E-04 -0.4175E-02  0.0000E+00      -1  -0.980E-03   20.00
  76  -750.0000   -1869.798 0.4641   0.6974E-03  0.4307E-04 -0.1762E-02  0.0000E+00      -1  -0.414E-03   20.00
  77  -760.0000   -1852.139 0.4650   0.7193E-03  0.4361E-04  0.5442E-03  0.0000E+00      -1   0.128E-03   20.00
  78  -770.0000   -1834.663 0.4658   0.7409E-03  0.4414E-04  0.5470E-03  0.0000E+00      -1   0.128E-03   20.00
  79  -780.0000   -1817.370 0.4666   0.7624E-03  0.4466E-04  0.5490E-03  0.0000E+00      -1   0.129E-03   20.00
  80  -790.0000   -1800.257 0.4674   0.7836E-03  0.4518E-04  0.5503E-03  0.0000E+00      -1   0.129E-03   20.00
  81  -800.0000   -1783.320 0.4682   0.8045E-03  0.4569E-04  0.5508E-03  0.0000E+00      -1   0.129E-03   20.00
  82  -810.0000   -1766.560 0.4690   0.8253E-03  0.4620E-04  0.5507E-03  0.0000E+00      -1   0.129E-03   20.00
  83  -820.0000   -1749.972 0.4698   0.8458E-03  0.4670E-04  0.5499E-03  0.0000E+00      -1   0.129E-03   20.00
  84  -830.0000   -1733.555 0.4706   0.8662E-03  0.4720E-04  0.5484E-03  0.0000E+00      -1   0.129E-03   20.00
  85  -840.0000   -1717.307 0.4713   0.8863E-03  0.4769E-04  0.5463E-03  0.0000E+00      -1   0.128E-03   20.00
  86  -850.0000   -1701.225 0.4721   0.9062E-03  0.4817E-04  0.5435E-03  0.0000E+00      -1   0.128E-03   20.00
  87  -860.0000   -1685.308 0.4728   0.9259E-03  0.4866E-04  0.5402E-03  0.0000E+00      -1   0.127E-03   20.00
  88  -870.0000   -1669.553 0.4736   0.9454E-03  0.4913E-04  0.5364E-03  0.0000E+00      -1   0.126E-03   20.00
  89  -880.0000   -1653.958 0.4743   0.9647E-03  0.4961E-04  0.5320E-03  0.0000E+00      -1   0.125E-03   20.00
  90  -890.0000   -1638.522 0.4751   0.9838E-03  0.5007E-04  0.5271E-03  0.0000E+00      -1   0.124E-03   20.00
  91  -900.0000   -1623.241 0.4758   0.1003E-02  0.5053E-04  0.5217E-03  0.0000E+00      -1   0.122E-03   20.00
  92  -910.0000   -1608.115 0.4765   0.1022E-02  0.5099E-04  0.5157E-03  0.0000E+00      -1   0.121E-03   20.00
  93  -920.0000   -1593.142 0.4772   0.1040E-02  0.5145E-04  0.5094E-03  0.0000E+00      -1   0.120E-03   20.00
  94  -930.0000   -1578.318 0.4779   0.1058E-02  0.5189E-04  0.5025E-03  0.0000E+00      -1   0.118E-03   20.00
  95  -940.0000   -1563.644 0.4786   0.1077E-02  0.5234E-04  0.4952E-03  0.0000E+00      -1   0.116E-03   20.00
  96  -950.0000   -1549.116 0.4793   0.1095E-02  0.5278E-04  0.4876E-03  0.0000E+00      -1   0.114E-03   20.00
  97  -960.0000   -1534.734 0.4800   0.1112E-02  0.5321E-04  0.4795E-03  0.0000E+00      -1   0.113E-03   20.00
  98  -970.0000   -1520.494 0.4806   0.1130E-02  0.5364E-04  0.4730E-03  0.0000E+00      -1   0.111E-03   20.00
  99  -980.0000   -1506.396 0.4815   0.1167E-02  0.5429E-04  0.4701E-03  0.0000E+00      -1   0.110E-03   20.00
