

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    10.00100 -0.100000E-03  0.000000E+00 -0.999949E-04  0.000000E+00 -0.123662E-05 -10917.904      0.000  -1524.606       1
    20.00000 -0.300070E+00  0.000000E+00 -0.300070E+00  0.000000E+00 -0.110924E-01  -5203.054      0.000  -1540.511       2
    30.00000 -0.340007E+01  0.000000E+00 -0.340007E+01  0.000000E+00 -0.220837E-01   -641.412      0.000  -1547.818       3
    40.00000 -0.870007E+01  0.000000E+00 -0.870007E+01  0.000000E+00 -0.330002E-01   -225.639      0.000  -1553.286       4
    50.00000 -0.910007E+01  0.000000E+00 -0.910007E+01  0.000000E+00 -0.438544E-01   -592.680      0.000  -1557.854       5
    60.00000 -0.920007E+01  0.000000E+00 -0.920007E+01  0.000000E+00 -0.546576E-01   -808.077      0.000  -1561.878       6
    70.00000 -0.920007E+01  0.000000E+00 -0.920007E+01  0.000000E+00 -0.654099E-01   -979.238      0.000  -1565.495       7
    80.00000 -0.930007E+01  0.000000E+00 -0.930007E+01  0.000000E+00 -0.761236E-01  -1030.333      0.000  -1568.851       8
    90.00000 -0.144001E+02  0.000000E+00 -0.144001E+02  0.000000E+00 -0.867992E-01   -169.771      0.000  -1571.980       9
   100.00000 -0.222001E+02  0.000000E+00 -0.222001E+02  0.000000E+00 -0.974371E-01    -60.058      0.000  -1574.915      10
   110.00000 -0.344001E+02  0.000000E+00 -0.344001E+02  0.000000E+00 -0.108041E+00    -10.128      0.000  -1577.688      11
   120.00000 -0.417001E+02  0.000000E+00 -0.417001E+02  0.000000E+00 -0.118612E+00    -26.742      0.000  -1580.322      12
   130.00000 -0.443001E+02  0.000000E+00 -0.443001E+02  0.000000E+00 -0.129150E+00    -83.880      0.000  -1582.828      13
   140.00000 -0.451001E+02  0.000000E+00 -0.451001E+02  0.000000E+00 -0.139658E+00   -150.855      0.000  -1585.217      14
   150.00000 -0.452001E+02  0.000000E+00 -0.452001E+02  0.000000E+00 -0.150136E+00   -220.891      0.000  -1587.502      15
   160.00000 -0.453001E+02  0.000000E+00 -0.453001E+02  0.000000E+00 -0.160585E+00   -260.376      0.000  -1589.683      16
   170.00000 -0.456001E+02  0.000000E+00 -0.456001E+02  0.000000E+00 -0.171010E+00   -273.357      0.000  -1591.778      17
   180.00000 -0.459001E+02  0.000000E+00 -0.459001E+02  0.000000E+00 -0.181408E+00   -289.474      0.000  -1593.775      18
   190.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.191784E+00   -328.523      0.000  -1595.693      19
   200.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.202135E+00   -365.943      0.000  -1597.518      20
   210.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.212463E+00   -392.209      0.000  -1599.252      21
   220.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.222770E+00   -417.064      0.000  -1600.903      22
   230.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.233052E+00   -438.496      0.000  -1602.447      23
   240.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.243317E+00   -457.886      0.000  -1603.914      24
   250.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.253565E+00   -475.279      0.000  -1605.300      25
   260.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.263796E+00   -492.170      0.000  -1606.607      26
   270.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.274013E+00   -509.285      0.000  -1607.833      27
   280.00000 -0.460001E+02  0.000000E+00 -0.460001E+02  0.000000E+00 -0.284215E+00   -525.336      0.000  -1608.982      28
   290.00000 -0.461001E+02  0.000000E+00 -0.461001E+02  0.000000E+00 -0.294410E+00   -515.525      0.000  -1610.088      29
   300.00000 -0.461001E+02  0.000000E+00 -0.461001E+02  0.000000E+00 -0.304591E+00   -544.258      0.000  -1611.105      30
   310.00000 -0.462001E+02  0.000000E+00 -0.462001E+02  0.000000E+00 -0.314760E+00   -534.321      0.000  -1612.052      31
   320.00000 -0.462001E+02  0.000000E+00 -0.462001E+02  0.000000E+00 -0.324918E+00   -563.041      0.000  -1612.915      32
end
