***	**** Program	HYDRUS									
***	****										
Wel	come to HYDR	US-1D									
Dat	e:  25. 9.	Time:  16	: 0:13								
Uni	ts: L = mm	", T = min"	", M = mmo"		l						
											
											
Tim	e:       10.	0									
											
											
Nod	e      Depth	Head	Moisture	Ths	K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
53	-520	-2042.128	0.4498		3.52E-04	4.06E-05	1.52E-03	0.00E+00	-1	6.60E-03	20
54	-530	-1989.617	0.4518		3.71E-04	4.17E-05	1.56E-03	0.00E+00	-1	6.77E-03	20
55	-540	-1938.112	0.4537		3.89E-04	4.27E-05	1.60E-03	0.00E+00	-1	6.95E-03	20
56	-550	-1888.063	0.4559		4.19E-04	4.40E-05	1.65E-03	0.00E+00	-1	7.16E-03	20
57	-560	-1839.845	0.4583		4.57E-04	4.56E-05	1.70E-03	0.00E+00	-1	7.40E-03	20
58	-570	-1793.43	0.4606		4.93E-04	4.70E-05	1.76E-03	0.00E+00	-1	7.63E-03	20
59	-580	-1748.505	0.4628		5.28E-04	4.84E-05	1.81E-03	0.00E+00	-1	7.86E-03	20
60	-590	-1704.859	0.4649		5.62E-04	4.98E-05	1.86E-03	0.00E+00	-1	8.07E-03	20
61	-600	-1662.337	0.467		5.95E-04	5.11E-05	1.90E-03	0.00E+00	-1	8.28E-03	20
62	-610	-1620.807	0.469		6.27E-04	5.24E-05	1.95E-03	0.00E+00	-1	8.47E-03	20
63	-620	-1580.15	0.471		6.59E-04	5.37E-05	1.99E-03	0.00E+00	-1	8.67E-03	20
64	-630	-1540.257	0.4729		6.90E-04	5.50E-05	2.04E-03	0.00E+00	-1	8.86E-03	20
65	-640	-1501.385	0.4751		7.37E-04	5.65E-05	2.09E-03	0.00E+00	-1	9.07E-03	20
66	-650	-1463.9	0.4775		8.01E-04	5.83E-05	2.14E-03	0.00E+00	-1	9.28E-03	20
67	-660	-1427.946	0.4797		8.62E-04	6.00E-05	2.17E-03	0.00E+00	-1	9.43E-03	20
68	-670	-1393.437	0.4819		9.20E-04	6.17E-05	2.18E-03	0.00E+00	-1	9.49E-03	20
69	-680	-1360.431	0.4839		9.76E-04	6.33E-05	2.16E-03	0.00E+00	-1	9.38E-03	20
70	-690	-1329.123	0.4859		1.03E-03	6.48E-05	2.09E-03	0.00E+00	-1	9.06E-03	20
71	-700	-1299.825	0.4877		1.08E-03	6.62E-05	1.95E-03	0.00E+00	-1	8.46E-03	20
72	-710	-1272.939	0.4894		1.12E-03	6.75E-05	1.73E-03	0.00E+00	-1	7.53E-03	20
73	-720	-1248.915	0.4909		1.17E-03	6.87E-05	1.44E-03	0.00E+00	-1	6.24E-03	20
74	-730	-1228.2	0.4922		1.20E-03	6.97E-05	1.06E-03	0.00E+00	-1	4.61E-03	20
75	-740	-1211.172	0.4933		1.23E-03	7.05E-05	6.22E-04	0.00E+00	-1	2.70E-03	20
76	-750	-1198.041	0.4942		1.26E-03	7.13E-05	9.59E-05	0.00E+00	-1	4.17E-04	20
77	-760	-1189.592	0.4949		1.29E-03	7.19E-05	-4.71E-04	0.00E+00	-1	-2.05E-03	20
78	-770	-1185.31	0.4952		1.31E-03	7.22E-05	-9.81E-04	0.00E+00	-1	-4.27E-03	20
79	-780	-1184.606	0.4953		1.31E-03	7.23E-05	-1.41E-03	0.00E+00	-1	-6.14E-03	20
80	-790	-1186.866	0.4951		1.30E-03	7.21E-05	-1.75E-03	0.00E+00	-1	-7.60E-03	20
81	-800	-1191.478	0.4947		1.29E-03	7.18E-05	-1.99E-03	0.00E+00	-1	-8.67E-03	20
82	-810	-1197.891	0.4942		1.26E-03	7.13E-05	-2.16E-03	0.00E+00	-1	-9.38E-03	20
83	-820	-1205.635	0.4936		1.24E-03	7.08E-05	-2.25E-03	0.00E+00	-1	-9.78E-03	20
84	-830	-1214.129	0.4931		1.22E-03	7.04E-05	-2.29E-03	0.00E+00	-1	-9.95E-03	20
85	-840	-1223.049	0.4926		1.21E-03	6.99E-05	-2.30E-03	0.00E+00	-1	-1.00E-02	20
86	-850	-1232.24	0.492		1.19E-03	6.95E-05	-2.30E-03	0.00E+00	-1	-1.00E-02	20
87	-860	-1241.605	0.4914		1.18E-03	6.90E-05	-2.29E-03	0.00E+00	-1	-9.94E-03	20
88	-870	-1251.091	0.4908		1.16E-03	6.86E-05	-2.27E-03	0.00E+00	-1	-9.86E-03	20
89	-880	-1260.667	0.4902		1.15E-03	6.81E-05	-2.25E-03	0.00E+00	-1	-9.76E-03	20
90	-890	-1270.315	0.4896		1.13E-03	6.77E-05	-2.22E-03	0.00E+00	-1	-9.66E-03	20
91	-900	-1280.019	0.489		1.11E-03	6.72E-05	-2.19E-03	0.00E+00	-1	-9.54E-03	20
92	-910	-1289.757	0.4884		1.10E-03	6.67E-05	-2.16E-03	0.00E+00	-1	-9.40E-03	20
93	-920	-1299.486	0.4878		1.08E-03	6.63E-05	-2.13E-03	0.00E+00	-1	-9.24E-03	20
94	-930	-1309.134	0.4872		1.06E-03	6.58E-05	-2.08E-03	0.00E+00	-1	-9.03E-03	20
95	-940	-1318.573	0.4866		1.05E-03	6.53E-05	-2.01E-03	0.00E+00	-1	-8.76E-03	20
96	-950	-1327.603	0.486		1.03E-03	6.49E-05	-1.93E-03	0.00E+00	-1	-8.38E-03	20
97	-960	-1335.93	0.4855		1.02E-03	6.45E-05	-1.81E-03	0.00E+00	-1	-7.87E-03	20
98	-970	-1343.161	0.485		1.01E-03	6.41E-05	-1.66E-03	0.00E+00	-1	-7.20E-03	20
99	-980	-1348.837	0.4847		9.96E-04	6.39E-05	-1.46E-03	0.00E+00	-1	-6.36E-03	20
100	-990	-1352.492	0.4844		9.89E-04	6.37E-05	-1.24E-03	0.00E+00	-1	-5.37E-03	20
101	-1000	-1353.765	0.4844		9.87E-04	6.36E-05	-1.11E-03	0.00E+00	-1	-4.84E-03	20
end											
											
											
Tim	e:       60.	0									
											
											
Nod	e      Depth	Head	Moisture		K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
1	0	0	0.6831		1.56E-01	8.28E-05	-2.12E-01	0.00E+00	-1	-9.22E-01	20
2	-10	-7.186	0.6823		9.00E-02	1.73E-04	-2.11E-01	0.00E+00	-1	-9.17E-01	20
3	-20	-26.062	0.6784		5.58E-02	2.27E-04	-2.10E-01	0.00E+00	-1	-9.14E-01	20
4	-30	-64.615	0.6688		3.06E-02	2.62E-04	-2.06E-01	0.00E+00	-1	-8.96E-01	20
5	-40	-147.784	0.6468		1.29E-02	2.59E-04	-1.95E-01	0.00E+00	-1	-8.46E-01	20
6	-50	-371.83	0.5969		3.07E-03	1.87E-04	-1.72E-01	0.00E+00	-1	-7.47E-01	20
7	-60	-968.996	0.5124		2.09E-03	8.79E-05	-1.30E-01	0.00E+00	-1	-5.65E-01	20
8	-70	-1747.018	0.4628		5.29E-04	4.85E-05	-7.15E-02	0.00E+00	-1	-3.11E-01	20
9	-80	-2922.211	0.4211		1.42E-04	2.69E-05	-2.32E-02	0.00E+00	-1	-1.01E-01	20
10	-90	-3489.656	0.4077		9.12E-05	2.19E-05	-3.81E-03	0.00E+00	-1	-1.66E-02	20
11	-100	-3583.042	0.4057		8.47E-05	2.12E-05	-5.41E-04	0.00E+00	-1	-2.35E-03	20
12	-110	-3593.519	0.4054		8.40E-05	2.11E-05	-1.32E-04	0.00E+00	-1	-5.74E-04	20
13	-120	-3594.406	0.4054		8.40E-05	2.11E-05	-8.77E-05	0.00E+00	-1	-3.81E-04	20
14	-130	-3594.413	0.4054		8.40E-05	2.11E-05	-8.37E-05	0.00E+00	-1	-3.64E-04	20
15	-140	-3594.354	0.4054		8.40E-05	2.11E-05	-8.30E-05	0.00E+00	-1	-3.61E-04	20
16	-150	-3594.192	0.4054		8.40E-05	2.11E-05	-8.10E-05	0.00E+00	-1	-3.52E-04	20
17	-160	-3593.647	0.4054		8.40E-05	2.11E-05	-7.48E-05	0.00E+00	-1	-3.25E-04	20
18	-170	-3591.999	0.4055		8.41E-05	2.11E-05	-5.90E-05	0.00E+00	-1	-2.57E-04	20
19	-180	-3587.67	0.4056		8.44E-05	2.11E-05	-2.54E-05	0.00E+00	-1	-1.10E-04	20
20	-190	-3578.022	0.4058		8.51E-05	2.12E-05	3.22E-05	0.00E+00	-1	1.40E-04	20
21	-200	-3560.16	0.4062		8.63E-05	2.14E-05	1.09E-04	0.00E+00	-1	4.73E-04	20
22	-210	-3532.949	0.4068		8.82E-05	2.16E-05	1.86E-04	0.00E+00	-1	8.07E-04	20
23	-220	-3498.225	0.4075		9.06E-05	2.18E-05	2.44E-04	0.00E+00	-1	1.06E-03	20
24	-230	-3459.09	0.4084		9.32E-05	2.21E-05	2.81E-04	0.00E+00	-1	1.22E-03	20
25	-240	-3418.078	0.4093		9.61E-05	2.24E-05	3.00E-04	0.00E+00	-1	1.30E-03	20
26	-250	-3376.645	0.4102		9.89E-05	2.28E-05	3.10E-04	0.00E+00	-1	1.35E-03	20
27	-260	-3335.437	0.4111		1.02E-04	2.31E-05	3.15E-04	0.00E+00	-1	1.37E-03	20
28	-270	-3294.699	0.412		1.05E-04	2.34E-05	3.18E-04	0.00E+00	-1	1.38E-03	20
29	-280	-3254.512	0.4129		1.07E-04	2.37E-05	3.21E-04	0.00E+00	-1	1.39E-03	20
30	-290	-3214.886	0.4137		1.10E-04	2.40E-05	3.23E-04	0.00E+00	-1	1.40E-03	20
31	-300	-3175.797	0.4146		1.13E-04	2.43E-05	3.25E-04	0.00E+00	-1	1.41E-03	20
32	-310	-3137.213	0.4154		1.15E-04	2.46E-05	3.27E-04	0.00E+00	-1	1.42E-03	20
33	-320	-3099.066	0.4163		1.18E-04	2.49E-05	3.30E-04	0.00E+00	-1	1.43E-03	20
34	-330	-3061.253	0.4171		1.21E-04	2.52E-05	3.34E-04	0.00E+00	-1	1.45E-03	20
35	-340	-3023.922	0.4181		1.26E-04	2.56E-05	3.42E-04	0.00E+00	-1	1.48E-03	20
36	-350	-2986.976	0.4192		1.32E-04	2.61E-05	3.55E-04	0.00E+00	-1	1.55E-03	20
37	-360	-2949.858	0.4203		1.37E-04	2.65E-05	3.81E-04	0.00E+00	-1	1.66E-03	20
38	-370	-2911.491	0.4214		1.43E-04	2.70E-05	4.28E-04	0.00E+00	-1	1.86E-03	20
39	-380	-2870.223	0.4226		1.50E-04	2.75E-05	5.06E-04	0.00E+00	-1	2.20E-03	20
40	-390	-2824.131	0.4239		1.57E-04	2.81E-05	6.16E-04	0.00E+00	-1	2.68E-03	20
41	-400	-2771.902	0.4254		1.65E-04	2.87E-05	7.49E-04	0.00E+00	-1	3.26E-03	20
42	-410	-2713.644	0.4271		1.74E-04	2.95E-05	8.82E-04	0.00E+00	-1	3.83E-03	20
43	-420	-2650.85	0.4289		1.84E-04	3.02E-05	9.95E-04	0.00E+00	-1	4.33E-03	20
44	-430	-2585.496	0.4308		1.94E-04	3.10E-05	1.08E-03	0.00E+00	-1	4.71E-03	20
45	-440	-2519.198	0.4327		2.04E-04	3.19E-05	1.15E-03	0.00E+00	-1	5.00E-03	20
46	-450	-2452.951	0.4346		2.15E-04	3.27E-05	1.20E-03	0.00E+00	-1	5.23E-03	20
47	-460	-2387.97	0.4368		2.31E-04	3.37E-05	1.25E-03	0.00E+00	-1	5.45E-03	20
48	-470	-2325.132	0.4391		2.53E-04	3.50E-05	1.30E-03	0.00E+00	-1	5.67E-03	20
49	-480	-2264.746	0.4414		2.74E-04	3.62E-05	1.35E-03	0.00E+00	-1	5.88E-03	20
50	-490	-2206.41	0.4436		2.95E-04	3.74E-05	1.40E-03	0.00E+00	-1	6.08E-03	20
51	-500	-2149.835	0.4457		3.15E-04	3.85E-05	1.44E-03	0.00E+00	-1	6.26E-03	20
52	-510	-2094.796	0.4478		3.34E-04	3.96E-05	1.48E-03	0.00E+00	-1	6.44E-03	20
53	-520	-2041.099	0.4498		3.53E-04	4.07E-05	1.52E-03	0.00E+00	-1	6.61E-03	20
54	-530	-1988.564	0.4518		3.71E-04	4.17E-05	1.56E-03	0.00E+00	-1	6.78E-03	20
55	-540	-1937.013	0.4538		3.89E-04	4.27E-05	1.60E-03	0.00E+00	-1	6.96E-03	20
56	-550	-1886.939	0.456		4.20E-04	4.41E-05	1.65E-03	0.00E+00	-1	7.17E-03	20
57	-560	-1838.736	0.4584		4.58E-04	4.56E-05	1.70E-03	0.00E+00	-1	7.41E-03	20
58	-570	-1792.354	0.4606		4.94E-04	4.70E-05	1.76E-03	0.00E+00	-1	7.64E-03	20
59	-580	-1747.475	0.4628		5.29E-04	4.85E-05	1.81E-03	0.00E+00	-1	7.86E-03	20
60	-590	-1703.878	0.4649		5.63E-04	4.98E-05	1.86E-03	0.00E+00	-1	8.07E-03	20
61	-600	-1661.393	0.467		5.96E-04	5.12E-05	1.90E-03	0.00E+00	-1	8.28E-03	20
62	-610	-1619.888	0.4691		6.28E-04	5.25E-05	1.95E-03	0.00E+00	-1	8.48E-03	20
63	-620	-1579.249	0.471		6.59E-04	5.37E-05	1.99E-03	0.00E+00	-1	8.67E-03	20
64	-630	-1539.389	0.473		6.90E-04	5.50E-05	2.04E-03	0.00E+00	-1	8.85E-03	20
65	-640	-1500.607	0.4752		7.38E-04	5.65E-05	2.08E-03	0.00E+00	-1	9.04E-03	20
66	-650	-1463.318	0.4775		8.02E-04	5.83E-05	2.12E-03	0.00E+00	-1	9.20E-03	20
67	-660	-1427.695	0.4797		8.62E-04	6.01E-05	2.14E-03	0.00E+00	-1	9.28E-03	20
68	-670	-1393.689	0.4819		9.20E-04	6.17E-05	2.13E-03	0.00E+00	-1	9.24E-03	20
69	-680	-1361.388	0.4839		9.74E-04	6.33E-05	2.08E-03	0.00E+00	-1	9.03E-03	20
70	-690	-1330.987	0.4858		1.03E-03	6.47E-05	1.98E-03	0.00E+00	-1	8.59E-03	20
71	-700	-1302.764	0.4876		1.07E-03	6.61E-05	1.82E-03	0.00E+00	-1	7.90E-03	20
72	-710	-1277.046	0.4892		1.12E-03	6.73E-05	1.59E-03	0.00E+00	-1	6.93E-03	20
73	-720	-1254.162	0.4906		1.16E-03	6.84E-05	1.30E-03	0.00E+00	-1	5.67E-03	20
74	-730	-1234.407	0.4918		1.19E-03	6.94E-05	9.59E-04	0.00E+00	-1	4.17E-03	20
75	-740	-1217.984	0.4929		1.22E-03	7.02E-05	5.67E-04	0.00E+00	-1	2.47E-03	20
76	-750	-1205.043	0.4937		1.24E-03	7.08E-05	1.14E-04	0.00E+00	-1	4.97E-04	20
77	-760	-1196.098	0.4944		1.27E-03	7.14E-05	-3.83E-04	0.00E+00	-1	-1.67E-03	20
78	-770	-1191.056	0.4948		1.29E-03	7.18E-05	-8.55E-04	0.00E+00	-1	-3.72E-03	20
79	-780	-1189.38	0.4949		1.30E-03	7.19E-05	-1.26E-03	0.00E+00	-1	-5.49E-03	20
80	-790	-1190.582	0.4948		1.29E-03	7.18E-05	-1.60E-03	0.00E+00	-1	-6.94E-03	20
81	-800	-1194.176	0.4945		1.28E-03	7.16E-05	-1.86E-03	0.00E+00	-1	-8.07E-03	20
82	-810	-1199.709	0.4941		1.26E-03	7.12E-05	-2.05E-03	0.00E+00	-1	-8.90E-03	20
83	-820	-1206.759	0.4936		1.24E-03	7.07E-05	-2.17E-03	0.00E+00	-1	-9.42E-03	20
84	-830	-1214.712	0.4931		1.22E-03	7.03E-05	-2.23E-03	0.00E+00	-1	-9.70E-03	20
85	-840	-1223.253	0.4925		1.21E-03	6.99E-05	-2.26E-03	0.00E+00	-1	-9.84E-03	20
86	-850	-1232.193	0.492		1.19E-03	6.95E-05	-2.28E-03	0.00E+00	-1	-9.89E-03	20
87	-860	-1241.402	0.4914		1.18E-03	6.91E-05	-2.27E-03	0.00E+00	-1	-9.88E-03	20
88	-870	-1250.791	0.4908		1.16E-03	6.86E-05	-2.26E-03	0.00E+00	-1	-9.82E-03	20
89	-880	-1260.302	0.4902		1.15E-03	6.81E-05	-2.24E-03	0.00E+00	-1	-9.74E-03	20
90	-890	-1269.895	0.4896		1.13E-03	6.77E-05	-2.22E-03	0.00E+00	-1	-9.63E-03	20
91	-900	-1279.536	0.489		1.11E-03	6.72E-05	-2.19E-03	0.00E+00	-1	-9.51E-03	20
92	-910	-1289.182	0.4884		1.10E-03	6.67E-05	-2.15E-03	0.00E+00	-1	-9.35E-03	20
93	-920	-1298.767	0.4878		1.08E-03	6.63E-05	-2.11E-03	0.00E+00	-1	-9.16E-03	20
94	-930	-1308.198	0.4872		1.06E-03	6.58E-05	-2.05E-03	0.00E+00	-1	-8.92E-03	20
95	-940	-1317.323	0.4866		1.05E-03	6.54E-05	-1.98E-03	0.00E+00	-1	-8.61E-03	20
96	-950	-1325.933	0.4861		1.03E-03	6.50E-05	-1.89E-03	0.00E+00	-1	-8.19E-03	20
97	-960	-1333.747	0.4856		1.02E-03	6.46E-05	-1.76E-03	0.00E+00	-1	-7.66E-03	20
98	-970	-1340.42	0.4852		1.01E-03	6.43E-05	-1.61E-03	0.00E+00	-1	-6.99E-03	20
99	-980	-1345.575	0.4849		1.00E-03	6.40E-05	-1.43E-03	0.00E+00	-1	-6.19E-03	20
100	-990	-1348.854	0.4847		9.96E-04	6.39E-05	-1.22E-03	0.00E+00	-1	-5.29E-03	20
101	-1000	-1349.988	0.4846		9.94E-04	6.38E-05	-1.11E-03	0.00E+00	-1	-4.81E-03	20
end											
											
											
Tim	e:       70.	0									
											
											
Nod	e      Depth	Head	Moisture		K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
1	0	0	0.6832		2.30E-01	0.00E+00	-2.19E-01	0.00E+00	-1	-9.51E-01	20
2	-10	-2.42	0.683		1.22E-01	1.27E-04	-2.19E-01	0.00E+00	-1	-9.50E-01	20
3	-20	-14.911	0.6808		7.23E-02	2.01E-04	-2.18E-01	0.00E+00	-1	-9.49E-01	20
4	-30	-43.38	0.6742		4.10E-02	2.50E-04	-2.17E-01	0.00E+00	-1	-9.43E-01	20
5	-40	-104.929	0.6581		1.93E-02	2.66E-04	-2.13E-01	0.00E+00	-1	-9.25E-01	20
6	-50	-263.163	0.6192		5.67E-03	2.21E-04	-2.03E-01	0.00E+00	-1	-8.83E-01	20
7	-60	-561.435	0.5575		7.07E-03	1.40E-04	-1.79E-01	0.00E+00	-1	-7.77E-01	20
8	-70	-881.694	0.5208		2.69E-03	9.66E-05	-1.36E-01	0.00E+00	-1	-5.89E-01	20
9	-80	-1515.56	0.4743		7.21E-04	5.60E-05	-8.03E-02	0.00E+00	-1	-3.49E-01	20
10	-90	-2619.356	0.4298		1.89E-04	3.07E-05	-3.10E-02	0.00E+00	-1	-1.35E-01	20
11	-100	-3388.986	0.4099		9.81E-05	2.27E-05	-6.46E-03	0.00E+00	-1	-2.81E-02	20
12	-110	-3566.706	0.406		8.59E-05	2.13E-05	-1.01E-03	0.00E+00	-1	-4.39E-03	20
13	-120	-3591.143	0.4055		8.42E-05	2.11E-05	-2.01E-04	0.00E+00	-1	-8.72E-04	20
14	-130	-3594.036	0.4054		8.40E-05	2.11E-05	-9.72E-05	0.00E+00	-1	-4.22E-04	20
15	-140	-3594.262	0.4054		8.40E-05	2.11E-05	-8.39E-05	0.00E+00	-1	-3.65E-04	20
16	-150	-3594.006	0.4054		8.40E-05	2.11E-05	-7.94E-05	0.00E+00	-1	-3.45E-04	20
17	-160	-3593.161	0.4054		8.41E-05	2.11E-05	-7.10E-05	0.00E+00	-1	-3.09E-04	20
18	-170	-3590.898	0.4055		8.42E-05	2.11E-05	-5.24E-05	0.00E+00	-1	-2.28E-04	20
19	-180	-3585.604	0.4056		8.46E-05	2.12E-05	-1.70E-05	0.00E+00	-1	-7.39E-05	20
20	-190	-3574.93	0.4058		8.53E-05	2.12E-05	3.87E-05	0.00E+00	-1	1.68E-04	20
21	-200	-3556.593	0.4062		8.66E-05	2.14E-05	1.09E-04	0.00E+00	-1	4.74E-04	20
22	-210	-3529.839	0.4068		8.84E-05	2.16E-05	1.80E-04	0.00E+00	-1	7.81E-04	20
23	-220	-3496.08	0.4076		9.07E-05	2.18E-05	2.36E-04	0.00E+00	-1	1.03E-03	20
24	-230	-3457.847	0.4084		9.33E-05	2.21E-05	2.74E-04	0.00E+00	-1	1.19E-03	20
25	-240	-3417.428	0.4093		9.61E-05	2.24E-05	2.96E-04	0.00E+00	-1	1.29E-03	20
26	-250	-3376.304	0.4102		9.89E-05	2.28E-05	3.08E-04	0.00E+00	-1	1.34E-03	20
27	-260	-3335.241	0.4111		1.02E-04	2.31E-05	3.14E-04	0.00E+00	-1	1.37E-03	20
28	-270	-3294.569	0.412		1.05E-04	2.34E-05	3.18E-04	0.00E+00	-1	1.38E-03	20
29	-280	-3254.411	0.4129		1.07E-04	2.37E-05	3.21E-04	0.00E+00	-1	1.39E-03	20
30	-290	-3214.792	0.4137		1.10E-04	2.40E-05	3.23E-04	0.00E+00	-1	1.40E-03	20
31	-300	-3175.703	0.4146		1.13E-04	2.43E-05	3.25E-04	0.00E+00	-1	1.41E-03	20
32	-310	-3137.097	0.4154		1.15E-04	2.46E-05	3.28E-04	0.00E+00	-1	1.42E-03	20
33	-320	-3098.905	0.4163		1.18E-04	2.49E-05	3.31E-04	0.00E+00	-1	1.44E-03	20
34	-330	-3061.014	0.4171		1.21E-04	2.52E-05	3.36E-04	0.00E+00	-1	1.46E-03	20
35	-340	-3023.535	0.4181		1.26E-04	2.56E-05	3.45E-04	0.00E+00	-1	1.50E-03	20
36	-350	-2986.282	0.4192		1.32E-04	2.61E-05	3.62E-04	0.00E+00	-1	1.57E-03	20
37	-360	-2948.592	0.4203		1.37E-04	2.65E-05	3.92E-04	0.00E+00	-1	1.70E-03	20
38	-370	-2909.322	0.4214		1.44E-04	2.70E-05	4.43E-04	0.00E+00	-1	1.93E-03	20
39	-380	-2866.941	0.4227		1.50E-04	2.76E-05	5.23E-04	0.00E+00	-1	2.27E-03	20
40	-390	-2819.908	0.424		1.58E-04	2.81E-05	6.29E-04	0.00E+00	-1	2.73E-03	20
41	-400	-2767.324	0.4255		1.66E-04	2.88E-05	7.52E-04	0.00E+00	-1	3.27E-03	20
42	-410	-2709.411	0.4272		1.75E-04	2.95E-05	8.75E-04	0.00E+00	-1	3.80E-03	20
43	-420	-2647.379	0.429		1.84E-04	3.03E-05	9.84E-04	0.00E+00	-1	4.28E-03	20
44	-430	-2582.824	0.4309		1.95E-04	3.11E-05	1.07E-03	0.00E+00	-1	4.66E-03	20
45	-440	-2517.136	0.4327		2.05E-04	3.19E-05	1.14E-03	0.00E+00	-1	4.97E-03	20
46	-450	-2451.261	0.4346		2.15E-04	3.27E-05	1.20E-03	0.00E+00	-1	5.21E-03	20
47	-460	-2386.512	0.4368		2.32E-04	3.38E-05	1.25E-03	0.00E+00	-1	5.44E-03	20
48	-470	-2323.81	0.4392		2.54E-04	3.50E-05	1.30E-03	0.00E+00	-1	5.67E-03	20
49	-480	-2263.512	0.4415		2.75E-04	3.62E-05	1.35E-03	0.00E+00	-1	5.88E-03	20
50	-490	-2205.249	0.4436		2.95E-04	3.74E-05	1.40E-03	0.00E+00	-1	6.08E-03	20
51	-500	-2148.732	0.4458		3.15E-04	3.85E-05	1.44E-03	0.00E+00	-1	6.26E-03	20
52	-510	-2093.729	0.4479		3.34E-04	3.96E-05	1.48E-03	0.00E+00	-1	6.44E-03	20
53	-520	-2040.042	0.4499		3.53E-04	4.07E-05	1.52E-03	0.00E+00	-1	6.62E-03	20
54	-530	-1987.489	0.4519		3.72E-04	4.17E-05	1.56E-03	0.00E+00	-1	6.79E-03	20
55	-540	-1935.907	0.4538		3.90E-04	4.28E-05	1.60E-03	0.00E+00	-1	6.97E-03	20
56	-550	-1885.825	0.4561		4.21E-04	4.41E-05	1.65E-03	0.00E+00	-1	7.18E-03	20
57	-560	-1837.644	0.4584		4.58E-04	4.56E-05	1.71E-03	0.00E+00	-1	7.41E-03	20
58	-570	-1791.294	0.4607		4.95E-04	4.71E-05	1.76E-03	0.00E+00	-1	7.64E-03	20
59	-580	-1746.455	0.4629		5.29E-04	4.85E-05	1.81E-03	0.00E+00	-1	7.86E-03	20
60	-590	-1702.897	0.465		5.63E-04	4.99E-05	1.86E-03	0.00E+00	-1	8.07E-03	20
61	-600	-1660.449	0.4671		5.96E-04	5.12E-05	1.90E-03	0.00E+00	-1	8.28E-03	20
62	-610	-1618.98	0.4691		6.29E-04	5.25E-05	1.95E-03	0.00E+00	-1	8.47E-03	20
63	-620	-1578.39	0.4711		6.60E-04	5.38E-05	1.99E-03	0.00E+00	-1	8.66E-03	20
64	-630	-1538.61	0.473		6.91E-04	5.50E-05	2.03E-03	0.00E+00	-1	8.82E-03	20
65	-640	-1499.98	0.4752		7.39E-04	5.66E-05	2.07E-03	0.00E+00	-1	8.98E-03	20
66	-650	-1462.964	0.4775		8.02E-04	5.83E-05	2.09E-03	0.00E+00	-1	9.09E-03	20
67	-660	-1427.744	0.4797		8.62E-04	6.01E-05	2.09E-03	0.00E+00	-1	9.10E-03	20
68	-670	-1394.297	0.4818		9.19E-04	6.17E-05	2.06E-03	0.00E+00	-1	8.97E-03	20
69	-680	-1362.713	0.4838		9.72E-04	6.32E-05	2.00E-03	0.00E+00	-1	8.67E-03	20
70	-690	-1333.165	0.4856		1.02E-03	6.46E-05	1.88E-03	0.00E+00	-1	8.16E-03	20
71	-700	-1305.887	0.4874		1.07E-03	6.59E-05	1.71E-03	0.00E+00	-1	7.42E-03	20
72	-710	-1281.131	0.4889		1.11E-03	6.71E-05	1.48E-03	0.00E+00	-1	6.44E-03	20
73	-720	-1259.149	0.4903		1.15E-03	6.82E-05	1.20E-03	0.00E+00	-1	5.21E-03	20
74	-730	-1240.16	0.4915		1.18E-03	6.91E-05	8.71E-04	0.00E+00	-1	3.79E-03	20
75	-740	-1224.323	0.4925		1.21E-03	6.99E-05	5.07E-04	0.00E+00	-1	2.21E-03	20
76	-750	-1211.708	0.4933		1.23E-03	7.05E-05	1.25E-04	0.00E+00	-1	5.45E-04	20
77	-760	-1202.254	0.4939		1.25E-03	7.10E-05	-3.01E-04	0.00E+00	-1	-1.31E-03	20
78	-770	-1196.503	0.4943		1.27E-03	7.14E-05	-7.46E-04	0.00E+00	-1	-3.24E-03	20
79	-780	-1194.016	0.4945		1.28E-03	7.16E-05	-1.14E-03	0.00E+00	-1	-4.95E-03	20
80	-790	-1194.352	0.4945		1.28E-03	7.16E-05	-1.47E-03	0.00E+00	-1	-6.39E-03	20
81	-800	-1197.09	0.4943		1.27E-03	7.14E-05	-1.74E-03	0.00E+00	-1	-7.56E-03	20
82	-810	-1201.845	0.4939		1.25E-03	7.10E-05	-1.95E-03	0.00E+00	-1	-8.46E-03	20
83	-820	-1208.229	0.4935		1.23E-03	7.07E-05	-2.09E-03	0.00E+00	-1	-9.06E-03	20
84	-830	-1215.617	0.493		1.22E-03	7.03E-05	-2.17E-03	0.00E+00	-1	-9.42E-03	20
85	-840	-1223.724	0.4925		1.21E-03	6.99E-05	-2.22E-03	0.00E+00	-1	-9.64E-03	20
86	-850	-1232.347	0.492		1.19E-03	6.95E-05	-2.24E-03	0.00E+00	-1	-9.75E-03	20
87	-860	-1241.334	0.4914		1.18E-03	6.91E-05	-2.25E-03	0.00E+00	-1	-9.78E-03	20
88	-870	-1250.569	0.4908		1.16E-03	6.86E-05	-2.25E-03	0.00E+00	-1	-9.76E-03	20
