***	**** Program	HYDRUS									
***	****										
Wel	come to HYDR	US-1D									
Dat	e:  25. 9.	Time:  16	: 0:13								
Uni	ts: L = mm	", T = min"	", M = mmo"		l						
											
											
Tim	e:       10.	0									
											
											
Nod	e      Depth	Head	Moisture	Ths	K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
53	-520	-2045.64	0.4497		3.51E-04	4.06E-05	1.52E-03	0.00E+00	-1	6.59E-03	20
54	-530	-1993.238	0.4516		3.70E-04	4.16E-05	1.54E-03	0.00E+00	-1	6.69E-03	20
55	-540	-1942.361	0.4536		3.87E-04	4.26E-05	1.57E-03	0.00E+00	-1	6.80E-03	20
56	-550	-1892.933	0.4557		4.15E-04	4.39E-05	1.62E-03	0.00E+00	-1	7.03E-03	20
57	-560	-1844.88	0.4581		4.53E-04	4.54E-05	1.69E-03	0.00E+00	-1	7.35E-03	20
58	-570	-1798.197	0.4603		4.89E-04	4.69E-05	1.76E-03	0.00E+00	-1	7.66E-03	20
59	-580	-1752.796	0.4626		5.24E-04	4.83E-05	1.82E-03	0.00E+00	-1	7.92E-03	20
60	-590	-1708.672	0.4647		5.59E-04	4.97E-05	1.87E-03	0.00E+00	-1	8.14E-03	20
61	-600	-1665.741	0.4668		5.92E-04	5.10E-05	1.91E-03	0.00E+00	-1	8.32E-03	20
62	-610	-1624.001	0.4689		6.25E-04	5.23E-05	1.95E-03	0.00E+00	-1	8.46E-03	20
63	-620	-1583.394	0.4708		6.56E-04	5.36E-05	1.97E-03	0.00E+00	-1	8.57E-03	20
64	-630	-1543.86	0.4728		6.87E-04	5.48E-05	2.00E-03	0.00E+00	-1	8.70E-03	20
65	-640	-1505.403	0.4749		7.30E-04	5.63E-05	2.05E-03	0.00E+00	-1	8.93E-03	20
66	-650	-1467.948	0.4772		7.94E-04	5.81E-05	2.14E-03	0.00E+00	-1	9.29E-03	20
67	-660	-1431.5	0.4795		8.56E-04	5.99E-05	2.22E-03	0.00E+00	-1	9.65E-03	20
68	-670	-1395.988	0.4817		9.16E-04	6.16E-05	2.29E-03	0.00E+00	-1	9.96E-03	20
69	-680	-1361.417	0.4839		9.74E-04	6.33E-05	2.35E-03	0.00E+00	-1	1.02E-02	20
70	-690	-1327.738	0.486		1.03E-03	6.49E-05	2.40E-03	0.00E+00	-1	1.04E-02	20
71	-700	-1294.908	0.488		1.09E-03	6.65E-05	2.43E-03	0.00E+00	-1	1.06E-02	20
72	-710	-1262.928	0.4901		1.14E-03	6.80E-05	2.46E-03	0.00E+00	-1	1.07E-02	20
73	-720	-1231.744	0.492		1.19E-03	6.95E-05	2.48E-03	0.00E+00	-1	1.08E-02	20
74	-730	-1201.356	0.494		1.25E-03	7.11E-05	2.53E-03	0.00E+00	-1	1.10E-02	20
75	-740	-1171.713	0.4963		1.36E-03	7.32E-05	2.62E-03	0.00E+00	-1	1.14E-02	20
76	-750	-1142.817	0.4986		1.46E-03	7.53E-05	-2.49E-05	0.00E+00	-1	-1.08E-04	20
77	-760	-1151.582	0.4979		1.43E-03	7.47E-05	-2.69E-03	0.00E+00	-1	-1.17E-02	20
78	-770	-1160.413	0.4972		1.40E-03	7.40E-05	-2.64E-03	0.00E+00	-1	-1.15E-02	20
79	-780	-1169.312	0.4965		1.37E-03	7.34E-05	-2.59E-03	0.00E+00	-1	-1.13E-02	20
80	-790	-1178.28	0.4958		1.34E-03	7.27E-05	-2.54E-03	0.00E+00	-1	-1.10E-02	20
81	-800	-1187.318	0.4951		1.30E-03	7.21E-05	-2.48E-03	0.00E+00	-1	-1.08E-02	20
82	-810	-1196.424	0.4944		1.27E-03	7.14E-05	-2.43E-03	0.00E+00	-1	-1.06E-02	20
83	-820	-1205.602	0.4936		1.24E-03	7.08E-05	-2.39E-03	0.00E+00	-1	-1.04E-02	20
84	-830	-1214.85	0.4931		1.22E-03	7.03E-05	-2.36E-03	0.00E+00	-1	-1.03E-02	20
85	-840	-1224.171	0.4925		1.21E-03	6.99E-05	-2.34E-03	0.00E+00	-1	-1.02E-02	20
86	-850	-1233.565	0.4919		1.19E-03	6.94E-05	-2.31E-03	0.00E+00	-1	-1.01E-02	20
87	-860	-1243.031	0.4913		1.18E-03	6.90E-05	-2.29E-03	0.00E+00	-1	-9.96E-03	20
88	-870	-1252.572	0.4907		1.16E-03	6.85E-05	-2.27E-03	0.00E+00	-1	-9.86E-03	20
89	-880	-1262.188	0.4901		1.14E-03	6.81E-05	-2.25E-03	0.00E+00	-1	-9.76E-03	20
90	-890	-1271.879	0.4895		1.13E-03	6.76E-05	-2.22E-03	0.00E+00	-1	-9.66E-03	20
91	-900	-1281.647	0.4889		1.11E-03	6.71E-05	-2.20E-03	0.00E+00	-1	-9.55E-03	20
92	-910	-1291.492	0.4883		1.09E-03	6.66E-05	-2.17E-03	0.00E+00	-1	-9.45E-03	20
93	-920	-1301.415	0.4876		1.08E-03	6.62E-05	-2.15E-03	0.00E+00	-1	-9.34E-03	20
94	-930	-1311.417	0.487		1.06E-03	6.57E-05	-2.12E-03	0.00E+00	-1	-9.23E-03	20
95	-940	-1321.497	0.4864		1.04E-03	6.52E-05	-2.10E-03	0.00E+00	-1	-9.11E-03	20
96	-950	-1331.66	0.4857		1.03E-03	6.47E-05	-2.07E-03	0.00E+00	-1	-9.00E-03	20
97	-960	-1341.902	0.4851		1.01E-03	6.42E-05	-2.04E-03	0.00E+00	-1	-8.88E-03	20
98	-970	-1352.227	0.4845		9.90E-04	6.37E-05	-2.02E-03	0.00E+00	-1	-8.76E-03	20
99	-980	-1362.634	0.4838		9.72E-04	6.32E-05	-1.99E-03	0.00E+00	-1	-8.64E-03	20
100	-990	-1373.125	0.4831		9.54E-04	6.27E-05	-1.96E-03	0.00E+00	-1	-8.52E-03	20
101	-1000	-1383.701	0.4825		9.37E-04	6.22E-05	-1.95E-03	0.00E+00	-1	-8.46E-03	20
end											
											
											
Tim	e:       10.	10									
											
											
Nod	e      Depth	Head	Moisture		K	C	Flux	Sink	Kapp	a   v/KsTop	Temp
	[L]	[L]	[-]		[L/T]	[1/L]	[L/T]	[1/T]	[-]	[-]	[C]
											
1	0	-3967.824	0.4052		1.23E-05	1.86E-05	-2.00E-01	0.00E+00	-1	-8.71E-01	20
2	-10	-3970.229	0.4052		1.23E-05	1.86E-05	-1.37E-05	0.00E+00	-1	-5.97E-05	20
3	-20	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
4	-30	-3970.229	0.4052		1.23E-05	1.86E-05	-1.23E-05	0.00E+00	-1	-5.32E-05	20
5	-40	-3970.229	0.4052		1.23E-05	1.86E-05	-1.22E-05	0.00E+00	-1	-5.32E-05	20
6	-50	-3970.217	0.4052		1.23E-05	1.86E-05	8.74E-04	0.00E+00	-1	3.80E-03	20
7	-60	-3594.407	0.4054		8.40E-05	2.11E-05	8.38E-04	0.00E+00	-1	3.64E-03	20
8	-70	-3594.399	0.4054		8.40E-05	2.11E-05	-8.39E-05	0.00E+00	-1	-3.65E-04	20
9	-80	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
10	-90	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
11	-100	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
12	-110	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
13	-120	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
14	-130	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
15	-140	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
16	-150	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
17	-160	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
18	-170	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
19	-180	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
20	-190	-3594.399	0.4054		8.40E-05	2.11E-05	-8.40E-05	0.00E+00	-1	-3.65E-04	20
21	-200	-3594.398	0.4054		8.40E-05	2.11E-05	1.06E-04	0.00E+00	-1	4.62E-04	20
22	-210	-3549.732	0.4064		8.70E-05	2.14E-05	2.99E-04	0.00E+00	-1	1.30E-03	20
23	-220	-3505.728	0.4074		9.00E-05	2.18E-05	3.03E-04	0.00E+00	-1	1.32E-03	20
24	-230	-3462.373	0.4083		9.30E-05	2.21E-05	3.07E-04	0.00E+00	-1	1.34E-03	20
25	-240	-3419.661	0.4092		9.60E-05	2.24E-05	3.11E-04	0.00E+00	-1	1.35E-03	20
26	-250	-3377.573	0.4102		9.88E-05	2.28E-05	3.14E-04	0.00E+00	-1	1.37E-03	20
27	-260	-3336.101	0.4111		1.02E-04	2.31E-05	3.17E-04	0.00E+00	-1	1.38E-03	20
28	-270	-3295.235	0.412		1.05E-04	2.34E-05	3.19E-04	0.00E+00	-1	1.39E-03	20
29	-280	-3254.962	0.4129		1.07E-04	2.37E-05	3.21E-04	0.00E+00	-1	1.40E-03	20
30	-290	-3215.274	0.4137		1.10E-04	2.40E-05	3.23E-04	0.00E+00	-1	1.41E-03	20
31	-300	-3176.16	0.4146		1.13E-04	2.43E-05	3.25E-04	0.00E+00	-1	1.41E-03	20
32	-310	-3137.608	0.4154		1.15E-04	2.46E-05	3.26E-04	0.00E+00	-1	1.42E-03	20
33	-320	-3099.61	0.4163		1.18E-04	2.49E-05	3.27E-04	0.00E+00	-1	1.42E-03	20
34	-330	-3062.153	0.4171		1.21E-04	2.52E-05	3.29E-04	0.00E+00	-1	1.43E-03	20
35	-340	-3025.232	0.4181		1.26E-04	2.56E-05	3.35E-04	0.00E+00	-1	1.46E-03	20
36	-350	-2988.835	0.4191		1.31E-04	2.60E-05	3.43E-04	0.00E+00	-1	1.49E-03	20
37	-360	-2952.954	0.4202		1.37E-04	2.65E-05	3.50E-04	0.00E+00	-1	1.52E-03	20
38	-370	-2917.58	0.4212		1.42E-04	2.69E-05	3.57E-04	0.00E+00	-1	1.55E-03	20
39	-380	-2882.701	0.4222		1.48E-04	2.74E-05	3.64E-04	0.00E+00	-1	1.58E-03	20
40	-390	-2848.313	0.4232		1.53E-04	2.78E-05	3.70E-04	0.00E+00	-1	1.61E-03	20
41	-400	-2814.405	0.4242		1.58E-04	2.82E-05	7.24E-04	0.00E+00	-1	3.15E-03	20
42	-410	-2738.878	0.4264		1.70E-04	2.91E-05	1.09E-03	0.00E+00	-1	4.76E-03	20
43	-420	-2665.675	0.4285		1.82E-04	3.01E-05	1.13E-03	0.00E+00	-1	4.89E-03	20
44	-430	-2594.778	0.4305		1.93E-04	3.09E-05	1.15E-03	0.00E+00	-1	5.01E-03	20
45	-440	-2526.03	0.4325		2.03E-04	3.18E-05	1.17E-03	0.00E+00	-1	5.09E-03	20
46	-450	-2459.415	0.4344		2.14E-04	3.26E-05	1.19E-03	0.00E+00	-1	5.19E-03	20
47	-460	-2394.792	0.4365		2.29E-04	3.36E-05	1.24E-03	0.00E+00	-1	5.37E-03	20
48	-470	-2332.146	0.4389		2.51E-04	3.49E-05	1.29E-03	0.00E+00	-1	5.63E-03	20
49	-480	-2271.375	0.4412		2.72E-04	3.61E-05	1.36E-03	0.00E+00	-1	5.89E-03	20
50	-490	-2212.381	0.4434		2.93E-04	3.72E-05	1.41E-03	0.00E+00	-1	6.12E-03	20
51	-500	-2155.153	0.4455		3.13E-04	3.84E-05	1.45E-03	0.00E+00	-1	6.30E-03	20
52	-510	-2099.576	0.4476		3.32E-04	3.95E-05	1.49E-03	0.00E+00	-1	6.46E-03	20
53	-520	-2045.64	0.4497		3.51E-04	4.06E-05	1.52E-03	0.00E+00	-1	6.59E-03	20
54	-530	-1993.238	0.4516		3.70E-04	4.16E-05	1.54E-03	0.00E+00	-1	6.69E-03	20
55	-540	-1942.361	0.4536		3.87E-04	4.26E-05	1.57E-03	0.00E+00	-1	6.80E-03	20
56	-550	-1892.933	0.4557		4.15E-04	4.39E-05	1.62E-03	0.00E+00	-1	7.03E-03	20
57	-560	-1844.88	0.4581		4.53E-04	4.54E-05	1.69E-03	0.00E+00	-1	7.35E-03	20
58	-570	-1798.197	0.4603		4.89E-04	4.69E-05	1.76E-03	0.00E+00	-1	7.66E-03	20
59	-580	-1752.796	0.4626		5.24E-04	4.83E-05	1.82E-03	0.00E+00	-1	7.92E-03	20
60	-590	-1708.672	0.4647		5.59E-04	4.97E-05	1.87E-03	0.00E+00	-1	8.14E-03	20
61	-600	-1665.741	0.4668		5.92E-04	5.10E-05	1.91E-03	0.00E+00	-1	8.32E-03	20
62	-610	-1624.001	0.4689		6.25E-04	5.23E-05	1.95E-03	0.00E+00	-1	8.46E-03	20
63	-620	-1583.394	0.4708		6.56E-04	5.36E-05	1.97E-03	0.00E+00	-1	8.57E-03	20
64	-630	-1543.86	0.4728		6.87E-04	5.48E-05	2.00E-03	0.00E+00	-1	8.70E-03	20
65	-640	-1505.403	0.4749		7.30E-04	5.63E-05	2.05E-03	0.00E+00	-1	8.93E-03	20
66	-650	-1467.948	0.4772		7.94E-04	5.81E-05	2.14E-03	0.00E+00	-1	9.29E-03	20
67	-660	-1431.5	0.4795		8.56E-04	5.99E-05	2.22E-03	0.00E+00	-1	9.65E-03	20
