 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  15:13:54
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -4457.503 0.3971   0.2577E-04  0.1636E-04 -0.2577E-04  0.0000E+00      -1  -0.409E-04   20.00
   2   -10.0000   -4457.503 0.3971   0.2577E-04  0.1636E-04 -0.2577E-04  0.0000E+00      -1  -0.409E-04   20.00
   3   -20.0000   -4457.503 0.3971   0.2577E-04  0.1636E-04 -0.2577E-04  0.0000E+00      -1  -0.409E-04   20.00
   4   -30.0000   -4457.503 0.3971   0.2577E-04  0.1636E-04 -0.2577E-04  0.0000E+00      -1  -0.409E-04   20.00
   5   -40.0000   -4457.503 0.3971   0.2577E-04  0.1636E-04 -0.2577E-04  0.0000E+00      -1  -0.409E-04   20.00
   6   -50.0000   -4457.503 0.3971   0.2577E-04  0.1636E-04  0.8981E-03  0.0000E+00      -1   0.143E-02   20.00
   7   -60.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04  0.8805E-03  0.0000E+00      -1   0.140E-02   20.00
   8   -70.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
   9   -80.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
  10   -90.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
  11  -100.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
  12  -110.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
  13  -120.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
  14  -130.0000   -4027.520 0.3969   0.6099E-04  0.1830E-04 -0.6099E-04  0.0000E+00      -1  -0.968E-04   20.00
