PreTimes,PreVals,meanRunTimes,meanRun
01/07/16 03:55,0.1,01/07/16 03:57,0
01/07/16 04:05,0,01/07/16 04:07,0
01/07/16 04:15,0.9,01/07/16 04:17,0.345928713537216
01/07/16 04:25,1.5,01/07/16 04:27,0
01/07/16 04:35,0.2,01/07/16 04:37,0
01/07/16 04:45,0.1,01/07/16 04:47,0
01/07/16 04:55,0.1,01/07/16 04:57,0
01/07/16 05:05,0,01/07/16 05:07,0
01/07/16 05:15,0.1,01/07/16 05:17,0
01/07/16 05:25,0.1,01/07/16 05:27,0
01/07/16 05:35,0.1,01/07/16 05:37,0
01/07/16 05:45,0.1,01/07/16 05:47,0
01/07/16 05:55,0,01/07/16 05:57,0
01/07/16 06:05,0,01/07/16 06:07,0
01/07/16 06:15,0,01/07/16 06:17,0
01/07/16 06:25,0,01/07/16 06:27,0
01/07/16 06:35,0,01/07/16 06:37,0
01/07/16 06:45,0,01/07/16 06:47,0
01/07/16 06:55,0,01/07/16 06:57,0
01/07/16 07:05,0.1,01/07/16 07:07,0
01/07/16 07:15,0,01/07/16 07:17,0
01/07/16 07:25,0,01/07/16 07:27,0
01/07/16 07:35,0.1,01/07/16 07:37,0
01/07/16 07:45,0,01/07/16 07:47,0
01/07/16 07:55,0.1,01/07/16 07:57,0
01/07/16 08:05,0.1,01/07/16 08:07,0
01/07/16 08:15,0.1,01/07/16 08:17,0
01/07/16 08:25,0,01/07/16 08:27,0
01/07/16 08:35,0,01/07/16 08:37,0
01/07/16 08:45,0.1,01/07/16 08:47,0
01/07/16 08:55,0,01/07/16 08:57,0
