Row,RR,duration,PI,AvgI,PreTot
Min,0.0530195492917925,50,9.6,1.43076923076923,4
First Quartile,0.114611677575072,90,15.9,2.71628959276018,6.95
Mean,0.203288245934567,198.666666666667,43.04,8.13684851548067,24.42
Geo Mean,0.17323778359098,171.905993985464,34.1297888861568,5.53497587890269,16.9655762213671
Median,0.150467961306847,200,33,5.03684210526316,16
Third Quartile,0.20504234533082,230,48.9,6,20.65
Max,0.468910124521005,370,94.8,23.6571428571429,82.8
Std Err. of Mean,0.0311350139622059,24.2382355688706,7.28602576364999,1.97070835051243,6.08731076756825
