Row,RR,durationMins,PI,AvgI,PreTot
Min,0.0476569020883243,30,3,0.619354838709677,3.2
First Quartile,0.114950592416379,59,13.56,1.87714285714286,5.42
Mean,0.231911997604236,175.9375,32.15625,6.24625460971284,16.025
Geo Mean,0.188631811327362,139.24030412979,24.0280276099998,4.32164938511292,10.9793961339933
Median,0.198810669332295,200,23.7,4.80413533834587,8.95
Third Quartile,0.222476919399199,210,30.84,5.598,12.82
Max,0.604356287978699,410,94.8,23.6571428571429,82.8
Std Err. of Mean,0.0262312055689776,18.5070789366158,4.24920993012136,1.04167484506912,3.2053697386246
