Row,RR,duration,PI,AvgI,PreTot
Min,0.00838391471106542,40,9,0.75483870967742,3.2
First Quartile,0.064239052235496,79,11.76,2.1056,4.51
Mean,0.128346657318544,164.736842105263,28.421052631579,5.904731363939,15.5421052631579
Geo Mean,0.0961642063211094,138.718782087994,23.4485837909513,4.34390757877548,10.9138236558924
Median,0.111248906763738,140,22.8,4.74545454545455,9.8
Third Quartile,0.124393544191732,206,30.66,6.13478260869566,14.36
Max,0.38095880474409,310,73.2,12,47.2
Std Err. of Mean,0.0209797882604087,20.6242975574535,4.1374313227096,0.93652583753432,3.00428851167339
