Row,RR,durationMins,PI,AvgI,PreTot
Min,0.00760225649740218,40,5.4,0.75483870967742,3.2
First Quartile,0.0652076791082528,100,10.86,1.50090909090909,3.94
Mean,0.139268288240372,166.086956521739,24.3130434782609,4.96381166173632,13.5173913043478
Geo Mean,0.110188211576178,144.199987299669,19.5998855845364,3.61718858446705,9.4018471651944
Median,0.12568103985289,160,19.2,3.98181818181818,7.3
Third Quartile,0.147392109183095,183,23.34,4.65100478468899,11.06
Max,0.38095880474409,310,73.2,12,47.2
Std Err. of Mean,0.0182037189658415,16.9484119656102,3.50464008824521,0.792001363133255,2.59406933949332
