 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 8.    Time:  12: 7:16
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  80  -790.0000   -1313.451 0.4869   0.1056E-02  0.6557E-04 -0.1857E-02  0.0000E+00      -1  -0.109E-02   20.00
  81  -800.0000   -1321.064 0.4864   0.1043E-02  0.6520E-04 -0.1839E-02  0.0000E+00      -1  -0.108E-02   20.00
  82  -810.0000   -1328.721 0.4859   0.1030E-02  0.6483E-04 -0.1820E-02  0.0000E+00      -1  -0.107E-02   20.00
  83  -820.0000   -1336.425 0.4854   0.1017E-02  0.6446E-04 -0.1802E-02  0.0000E+00      -1  -0.106E-02   20.00
  84  -830.0000   -1344.175 0.4850   0.1003E-02  0.6409E-04 -0.1784E-02  0.0000E+00      -1  -0.105E-02   20.00
  85  -840.0000   -1351.973 0.4845   0.9903E-03  0.6371E-04 -0.1765E-02  0.0000E+00      -1  -0.104E-02   20.00
  86  -850.0000   -1359.817 0.4840   0.9770E-03  0.6333E-04 -0.1746E-02  0.0000E+00      -1  -0.103E-02   20.00
  87  -860.0000   -1367.708 0.4835   0.9636E-03  0.6295E-04 -0.1726E-02  0.0000E+00      -1  -0.102E-02   20.00
  88  -870.0000   -1375.648 0.4830   0.9501E-03  0.6256E-04 -0.1707E-02  0.0000E+00      -1  -0.100E-02   20.00
  89  -880.0000   -1383.636 0.4825   0.9366E-03  0.6218E-04 -0.1687E-02  0.0000E+00      -1  -0.992E-03   20.00
  90  -890.0000   -1391.672 0.4820   0.9230E-03  0.6179E-04 -0.1667E-02  0.0000E+00      -1  -0.981E-03   20.00
  91  -900.0000   -1399.758 0.4815   0.9093E-03  0.6140E-04 -0.1647E-02  0.0000E+00      -1  -0.969E-03   20.00
  92  -910.0000   -1407.892 0.4810   0.8955E-03  0.6101E-04 -0.1626E-02  0.0000E+00      -1  -0.957E-03   20.00
  93  -920.0000   -1416.077 0.4805   0.8816E-03  0.6061E-04 -0.1605E-02  0.0000E+00      -1  -0.944E-03   20.00
  94  -930.0000   -1424.312 0.4799   0.8676E-03  0.6021E-04 -0.1584E-02  0.0000E+00      -1  -0.932E-03   20.00
  95  -940.0000   -1432.597 0.4794   0.8536E-03  0.5981E-04 -0.1563E-02  0.0000E+00      -1  -0.919E-03   20.00
  96  -950.0000   -1440.933 0.4789   0.8395E-03  0.5941E-04 -0.1541E-02  0.0000E+00      -1  -0.907E-03   20.00
  97  -960.0000   -1449.320 0.4784   0.8252E-03  0.5900E-04 -0.1520E-02  0.0000E+00      -1  -0.894E-03   20.00
  98  -970.0000   -1457.760 0.4778   0.8109E-03  0.5860E-04 -0.1497E-02  0.0000E+00      -1  -0.881E-03   20.00
  99  -980.0000   -1466.251 0.4773   0.7965E-03  0.5819E-04 -0.1475E-02  0.0000E+00      -1  -0.868E-03   20.00
 100  -990.0000   -1474.795 0.4768   0.7821E-03  0.5777E-04 -0.1452E-02  0.0000E+00      -1  -0.854E-03   20.00
 101 -1000.0000   -1483.391 0.4762   0.7675E-03  0.5736E-04 -0.1441E-02  0.0000E+00      -1  -0.848E-03   20.00
end


 Time:       10.0010


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -7666.053 0.3600   0.1597E-04  0.8291E-05 -0.1597E-04  0.0000E+00      -1  -0.939E-05   20.00
   2   -10.0000   -7666.053 0.3600   0.1597E-04  0.8291E-05 -0.1597E-04  0.0000E+00      -1  -0.939E-05   20.00
   3   -20.0000   -7666.053 0.3600   0.1597E-04  0.8291E-05 -0.1597E-04  0.0000E+00      -1  -0.939E-05   20.00
   4   -30.0000   -7666.053 0.3600   0.1597E-04  0.8291E-05 -0.1597E-04  0.0000E+00      -1  -0.939E-05   20.00
   5   -40.0000   -7666.053 0.3600   0.1597E-04  0.8291E-05 -0.1595E-04  0.0000E+00      -1  -0.938E-05   20.00
   6   -50.0000   -7666.036 0.3600   0.1597E-04  0.8291E-05  0.6254E-03  0.0000E+00      -1   0.368E-03   20.00
   7   -60.0000   -6851.776 0.3604   0.1554E-04  0.9625E-05  0.6257E-03  0.0000E+00      -1   0.368E-03   20.00
   8   -70.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1552E-04  0.0000E+00      -1  -0.913E-05   20.00
   9   -80.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  10   -90.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  11  -100.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  12  -110.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  13  -120.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  14  -130.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  15  -140.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  16  -150.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  17  -160.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  18  -170.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  19  -180.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  20  -190.0000   -6851.761 0.3604   0.1554E-04  0.9625E-05 -0.1554E-04  0.0000E+00      -1  -0.914E-05   20.00
  21  -200.0000   -6851.760 0.3604   0.1554E-04  0.9625E-05  0.1808E-03  0.0000E+00      -1   0.106E-03   20.00
  22  -210.0000   -6609.122 0.3627   0.1689E-04  0.1003E-04  0.3834E-03  0.0000E+00      -1   0.226E-03   20.00
  23  -220.0000   -6377.024 0.3649   0.1819E-04  0.1043E-04  0.3942E-03  0.0000E+00      -1   0.232E-03   20.00
  24  -230.0000   -6154.910 0.3670   0.1943E-04  0.1080E-04  0.4096E-03  0.0000E+00      -1   0.241E-03   20.00
  25  -240.0000   -5942.268 0.3696   0.2204E-04  0.1138E-04  0.4363E-03  0.0000E+00      -1   0.257E-03   20.00
  26  -250.0000   -5738.605 0.3721   0.2468E-04  0.1195E-04  0.4664E-03  0.0000E+00      -1   0.274E-03   20.00
  27  -260.0000   -5543.463 0.3745   0.2721E-04  0.1250E-04  0.4918E-03  0.0000E+00      -1   0.289E-03   20.00
  28  -270.0000   -5356.411 0.3769   0.2963E-04  0.1302E-04  0.5124E-03  0.0000E+00      -1   0.301E-03   20.00
  29  -280.0000   -5177.042 0.3791   0.3195E-04  0.1353E-04  0.5287E-03  0.0000E+00      -1   0.311E-03   20.00
  30  -290.0000   -5004.976 0.3812   0.3418E-04  0.1401E-04  0.5429E-03  0.0000E+00      -1   0.319E-03   20.00
  31  -300.0000   -4839.847 0.3834   0.3671E-04  0.1452E-04  0.5651E-03  0.0000E+00      -1   0.332E-03   20.00
  32  -310.0000   -4681.322 0.3860   0.4145E-04  0.1526E-04  0.6012E-03  0.0000E+00      -1   0.354E-03   20.00
  33  -320.0000   -4529.079 0.3885   0.4600E-04  0.1597E-04  0.6393E-03  0.0000E+00      -1   0.376E-03   20.00
