

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    10.00100 -0.600000E-04  0.000000E+00 -0.600583E-04  0.000000E+00 -0.883179E-06 -10219.128      0.000  -1294.047       1
    20.00000 -0.899970E+00  0.000000E+00 -0.899970E+00  0.000000E+00 -0.105314E-01  -2211.499      0.000  -1319.602       2
    30.00000 -0.149997E+01  0.000000E+00 -0.149997E+01  0.000000E+00 -0.208331E-01  -1846.977      0.000  -1331.203       3
    40.00000 -0.239997E+01  0.000000E+00 -0.239997E+01  0.000000E+00 -0.309770E-01  -1246.457      0.000  -1339.907       4
    50.00000 -0.499997E+01  0.000000E+00 -0.499997E+01  0.000000E+00 -0.409942E-01   -480.102      0.000  -1347.188       5
    60.00000 -0.148000E+02  0.000000E+00 -0.148000E+02  0.000000E+00 -0.509027E-01    -29.023      0.000  -1353.567       6
    70.00000 -0.283000E+02  0.000000E+00 -0.273103E+02  0.000000E+00 -0.607118E-01      0.000      0.000  -1359.296       7
    80.00000 -0.441000E+02  0.000000E+00 -0.396184E+02  0.000000E+00 -0.704298E-01      0.000      0.000  -1364.529       8
    90.00000 -0.589999E+02  0.000000E+00 -0.512103E+02  0.000000E+00 -0.800630E-01      0.000      0.000  -1369.371       9
   100.00000 -0.664999E+02  0.000000E+00 -0.587097E+02  0.000000E+00 -0.896216E-01     -1.550      0.000  -1373.909      10
   110.00000 -0.694999E+02  0.000000E+00 -0.617096E+02  0.000000E+00 -0.991011E-01    -28.323      0.000  -1378.168      11
   120.00000 -0.710999E+02  0.000000E+00 -0.633096E+02  0.000000E+00 -0.108509E+00    -63.296      0.000  -1382.197      12
   130.00000 -0.719999E+02  0.000000E+00 -0.642096E+02  0.000000E+00 -0.117850E+00    -98.622      0.000  -1386.036      13
   140.00000 -0.722999E+02  0.000000E+00 -0.645096E+02  0.000000E+00 -0.127129E+00   -146.284      0.000  -1389.708      14
   150.00000 -0.723998E+02  0.000000E+00 -0.646096E+02  0.000000E+00 -0.136346E+00   -185.069      0.000  -1393.233      15
   160.00000 -0.723998E+02  0.000000E+00 -0.646096E+02  0.000000E+00 -0.145501E+00   -218.906      0.000  -1396.616      16
   170.00000 -0.724998E+02  0.000000E+00 -0.647096E+02  0.000000E+00 -0.154605E+00   -233.563      0.000  -1399.891      17
   180.00000 -0.724998E+02  0.000000E+00 -0.647096E+02  0.000000E+00 -0.163649E+00   -261.437      0.000  -1403.049      18
   190.00000 -0.725998E+02  0.000000E+00 -0.648095E+02  0.000000E+00 -0.172647E+00   -269.532      0.000  -1406.118      19
   200.00000 -0.726998E+02  0.000000E+00 -0.649095E+02  0.000000E+00 -0.181589E+00   -281.998      0.000  -1409.090      20
   210.00000 -0.726998E+02  0.000000E+00 -0.649095E+02  0.000000E+00 -0.190478E+00   -306.594      0.000  -1411.973      21
end
