 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  12. 7.    Time:   0: 6:49
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46  -450.0000   -2330.671 0.4389   0.2512E-03  0.3488E-04  0.9941E-03  0.0000E+00      -1   0.585E-03   20.00
  47  -460.0000   -2281.654 0.4408   0.2684E-03  0.3586E-04  0.1030E-02  0.0000E+00      -1   0.606E-03   20.00
  48  -470.0000   -2233.842 0.4426   0.2852E-03  0.3681E-04  0.1061E-02  0.0000E+00      -1   0.624E-03   20.00
  49  -480.0000   -2187.168 0.4443   0.3015E-03  0.3774E-04  0.1089E-02  0.0000E+00      -1   0.640E-03   20.00
  50  -490.0000   -2141.577 0.4461   0.3175E-03  0.3865E-04  0.1112E-02  0.0000E+00      -1   0.654E-03   20.00
  51  -500.0000   -2097.086 0.4477   0.3331E-03  0.3953E-04  0.1131E-02  0.0000E+00      -1   0.665E-03   20.00
  52  -510.0000   -2053.638 0.4494   0.3484E-03  0.4040E-04  0.1147E-02  0.0000E+00      -1   0.675E-03   20.00
  53  -520.0000   -2011.204 0.4510   0.3633E-03  0.4125E-04  0.1160E-02  0.0000E+00      -1   0.682E-03   20.00
  54  -530.0000   -1969.729 0.4525   0.3778E-03  0.4207E-04  0.1170E-02  0.0000E+00      -1   0.688E-03   20.00
  55  -540.0000   -1929.234 0.4541   0.3920E-03  0.4288E-04  0.1186E-02  0.0000E+00      -1   0.697E-03   20.00
  56  -550.0000   -1889.667 0.4559   0.4180E-03  0.4399E-04  0.1220E-02  0.0000E+00      -1   0.718E-03   20.00
  57  -560.0000   -1850.979 0.4578   0.4481E-03  0.4520E-04  0.1264E-02  0.0000E+00      -1   0.744E-03   20.00
  58  -570.0000   -1813.189 0.4596   0.4775E-03  0.4639E-04  0.1305E-02  0.0000E+00      -1   0.768E-03   20.00
  59  -580.0000   -1776.252 0.4614   0.5062E-03  0.4755E-04  0.1342E-02  0.0000E+00      -1   0.789E-03   20.00
  60  -590.0000   -1740.143 0.4632   0.5343E-03  0.4868E-04  0.1373E-02  0.0000E+00      -1   0.808E-03   20.00
  61  -600.0000   -1704.817 0.4649   0.5618E-03  0.4979E-04  0.1399E-02  0.0000E+00      -1   0.823E-03   20.00
  62  -610.0000   -1670.295 0.4666   0.5886E-03  0.5087E-04  0.1420E-02  0.0000E+00      -1   0.835E-03   20.00
  63  -620.0000   -1636.532 0.4682   0.6149E-03  0.5193E-04  0.1438E-02  0.0000E+00      -1   0.846E-03   20.00
  64  -630.0000   -1603.492 0.4699   0.6406E-03  0.5297E-04  0.1452E-02  0.0000E+00      -1   0.854E-03   20.00
  65  -640.0000   -1571.189 0.4714   0.6657E-03  0.5398E-04  0.1461E-02  0.0000E+00      -1   0.859E-03   20.00
