

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    10.00100 -0.300000E-03  0.000000E+00 -0.299812E-03  0.000000E+00 -0.117339E-05 -29166.941      0.000  -1416.704       1
    20.00000 -0.220008E+01  0.000000E+00 -0.220008E+01  0.000000E+00 -0.137406E-01   -747.461      0.000  -1433.398       2
    30.00000 -0.540008E+01  0.000000E+00 -0.540008E+01  0.000000E+00 -0.272406E-01   -190.476      0.000  -1440.793       3
    40.00000 -0.880008E+01  0.000000E+00 -0.880008E+01  0.000000E+00 -0.405739E-01    -79.193      0.000  -1446.380       4
    50.00000 -0.117001E+02  0.000000E+00 -0.117001E+02  0.000000E+00 -0.537733E-01    -54.017      0.000  -1451.070       5
    60.00000 -0.146001E+02  0.000000E+00 -0.146001E+02  0.000000E+00 -0.668533E-01    -32.930      0.000  -1455.177       6
    70.00000 -0.198001E+02  0.000000E+00 -0.196320E+02  0.000000E+00 -0.798427E-01      0.000      0.000  -1458.921       7
    80.00000 -0.241001E+02  0.000000E+00 -0.236962E+02  0.000000E+00 -0.927328E-01      0.000      0.000  -1462.346       8
    90.00000 -0.285000E+02  0.000000E+00 -0.278840E+02  0.000000E+00 -0.105531E+00      0.000      0.000  -1465.524       9
   100.00000 -0.323000E+02  0.000000E+00 -0.315069E+02  0.000000E+00 -0.118252E+00      0.000      0.000  -1468.509      10
   110.00000 -0.335000E+02  0.000000E+00 -0.327069E+02  0.000000E+00 -0.130892E+00    -38.709      0.000  -1471.315      11
   120.00000 -0.341000E+02  0.000000E+00 -0.333069E+02  0.000000E+00 -0.143457E+00    -78.881      0.000  -1473.975      12
   130.00000 -0.342000E+02  0.000000E+00 -0.334069E+02  0.000000E+00 -0.155952E+00   -143.495      0.000  -1476.510      13
   140.00000 -0.342000E+02  0.000000E+00 -0.334069E+02  0.000000E+00 -0.168376E+00   -193.780      0.000  -1478.919      14
   150.00000 -0.342000E+02  0.000000E+00 -0.334069E+02  0.000000E+00 -0.180733E+00   -231.217      0.000  -1481.216      15
   160.00000 -0.342000E+02  0.000000E+00 -0.334069E+02  0.000000E+00 -0.193030E+00   -264.749      0.000  -1483.415      16
   170.00000 -0.342000E+02  0.000000E+00 -0.334069E+02  0.000000E+00 -0.205256E+00   -292.944      0.000  -1485.498      17
   180.00000 -0.343000E+02  0.000000E+00 -0.335069E+02  0.000000E+00 -0.217452E+00   -290.767      0.000  -1487.527      18
   190.00000 -0.343000E+02  0.000000E+00 -0.335069E+02  0.000000E+00 -0.229589E+00   -333.172      0.000  -1489.462      19
   200.00000 -0.344000E+02  0.000000E+00 -0.336069E+02  0.000000E+00 -0.241680E+00   -326.023      0.000  -1491.318      20
   210.00000 -0.344000E+02  0.000000E+00 -0.336069E+02  0.000000E+00 -0.253719E+00   -367.126      0.000  -1493.083      21
   220.00000 -0.344000E+02  0.000000E+00 -0.336069E+02  0.000000E+00 -0.265709E+00   -395.095      0.000  -1494.759      22
   230.00000 -0.345000E+02  0.000000E+00 -0.337069E+02  0.000000E+00 -0.277662E+00   -375.772      0.000  -1496.370      23
   240.00000 -0.345000E+02  0.000000E+00 -0.337069E+02  0.000000E+00 -0.289570E+00   -419.876      0.000  -1497.891      24
end
