Row,BD,VWC,POR
Min,0.312199808,18.2516811,69.00657932
First Quartile,0.518731989,32.24783865,73.795153431
Mean,0.604838005469697,36.5979681621212,77.1759243222727
Geo Mean,0.593868107361114,35.9465171025225,77.0686094976029
Median,0.6171950045,36.98366955,76.70962247
Third Quartile,0.636119116,38.25168109,77.789860993
Max,0.821325648,46.9740634,88.21887517
Std Err. of Mean,0.0134802008080711,0.808781047990518,0.508686822876711
