Row,KS
Min,0.736714286
First Quartile,33.395142855
Mean,268.63750286904
Geo Mean,98.6770088315525
Median,108.0771429
Third Quartile,127.98
Max,1665.514286
Std Err. of Mean,79.7052964635154
