 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 8.    Time:  14: 3: 1
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 11)                      Node( 31)                      Node( 51)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         11.1351    -8373.01  0.3972 -0.945E-07      -4577.75  0.3972 -0.736E-04      -1929.71  0.4614  0.953E-02      -1091.29  0.5084 -0.883E-02      -1457.52  0.4844 -0.129E-02
         11.4757    -8373.02  0.3972 -0.481E-07      -4577.75  0.3972 -0.736E-04      -1928.79  0.4615  0.954E-02      -1091.15  0.5084 -0.883E-02      -1458.83  0.4843 -0.128E-02
         11.9185    -8373.04  0.3972 -0.112E-06      -4577.75  0.3972 -0.735E-04      -1927.60  0.4615  0.956E-02      -1090.96  0.5084 -0.883E-02      -1460.35  0.4843 -0.128E-02
         12.4941    -8373.08  0.3972  0.239E-07      -4577.75  0.3972 -0.735E-04      -1926.08  0.4616  0.957E-02      -1090.72  0.5085 -0.883E-02      -1462.08  0.4841 -0.128E-02
         13.2447    -8373.11  0.3972  0.528E-08      -4577.75  0.3972 -0.734E-04      -1924.11  0.4616  0.960E-02      -1090.41  0.5085 -0.884E-02      -1464.03  0.4840 -0.127E-02
         14.2097    -8373.17  0.3972 -0.739E-07      -4577.75  0.3972 -0.731E-04      -1921.60  0.4617  0.963E-02      -1090.01  0.5085 -0.884E-02      -1466.19  0.4839 -0.127E-02
         15.3678    -8373.22  0.3972  0.379E-07      -4577.77  0.3972 -0.725E-04      -1918.60  0.4618  0.966E-02      -1089.53  0.5086 -0.884E-02      -1468.43  0.4838 -0.126E-02
         16.9119    -8373.30  0.3972 -0.118E-07      -4577.81  0.3972 -0.711E-04      -1915.21  0.4620  0.972E-02      -1088.90  0.5086 -0.884E-02      -1471.00  0.4836 -0.126E-02
         20.0000    -8373.45  0.3972  0.145E-07      -4578.06  0.3972 -0.653E-04      -1908.07  0.4623  0.983E-02      -1087.76  0.5087 -0.882E-02      -1475.18  0.4834 -0.125E-02
         22.5000    -8373.58  0.3972  0.279E-07      -4578.39  0.3972 -0.589E-04      -1902.20  0.4626  0.991E-02      -1086.92  0.5088 -0.879E-02      -1478.22  0.4832 -0.124E-02
         26.2500    -8373.76  0.3972 -0.284E-10      -4579.33  0.3972 -0.445E-04      -1893.26  0.4630  0.100E-01      -1085.98  0.5088 -0.871E-02      -1482.08  0.4829 -0.123E-02
         30.0000    -8373.93  0.3972 -0.912E-08      -4580.70  0.3972 -0.267E-04      -1884.45  0.4634  0.101E-01      -1085.38  0.5089 -0.858E-02      -1485.58  0.4827 -0.122E-02
         30.0001    -8373.15  0.3972 -0.250E+00      -4580.65  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.942E-03
         30.0002    -8372.29  0.3972 -0.250E+00      -4580.67  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.36  0.5089 -0.858E-02      -1485.61  0.4827 -0.941E-03
         30.0004    -8371.06  0.3973 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.942E-03
         30.0006    -8369.49  0.3973 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.61  0.4827 -0.942E-03
         30.0009    -8367.43  0.3973 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.942E-03
         30.0013    -8364.77  0.3973 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.134E-02
         30.0018    -8361.31  0.3973 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.125E-02
         30.0024    -8356.80  0.3974 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.118E-02
         30.0032    -8350.93  0.3974 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.43  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.131E-02
         30.0043    -8343.33  0.3974 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.42  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.122E-02
         30.0056    -8333.42  0.3975 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.42  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.127E-02
         30.0074    -8320.55  0.3976 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.42  0.4634  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.119E-02
         30.0098    -8303.82  0.3977 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.41  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.62  0.4827 -0.120E-02
         30.0128    -8282.07  0.3979 -0.250E+00      -4580.66  0.3972 -0.270E-04      -1884.40  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.63  0.4827 -0.124E-02
         30.0167    -8253.80  0.3981 -0.250E+00      -4580.66  0.3972 -0.269E-04      -1884.39  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.63  0.4827 -0.121E-02
         30.0218    -8217.04  0.3983 -0.250E+00      -4580.66  0.3972 -0.269E-04      -1884.38  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.64  0.4827 -0.120E-02
         30.0285    -8169.26  0.3987 -0.250E+00      -4580.67  0.3972 -0.269E-04      -1884.37  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.64  0.4827 -0.121E-02
         30.0372    -8107.14  0.3991 -0.250E+00      -4580.67  0.3972 -0.268E-04      -1884.35  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.65  0.4827 -0.122E-02
         30.0484    -8026.40  0.3997 -0.250E+00      -4580.67  0.3972 -0.268E-04      -1884.32  0.4635  0.101E-01      -1085.35  0.5089 -0.858E-02      -1485.66  0.4827 -0.122E-02
         30.0630    -7921.44  0.4004 -0.250E+00      -4580.68  0.3972 -0.267E-04      -1884.28  0.4635  0.101E-01      -1085.34  0.5089 -0.858E-02      -1485.67  0.4827 -0.122E-02
         30.0820    -7785.01  0.4013 -0.250E+00      -4580.68  0.3972 -0.266E-04      -1884.24  0.4635  0.101E-01      -1085.34  0.5089 -0.858E-02      -1485.69  0.4827 -0.122E-02
         30.1067    -7644.54  0.4026 -0.250E+00      -4580.69  0.3972 -0.265E-04      -1884.18  0.4635  0.101E-01      -1085.34  0.5089 -0.858E-02      -1485.71  0.4827 -0.122E-02
         30.1388    -7467.59  0.4042 -0.250E+00      -4580.71  0.3972 -0.264E-04      -1884.11  0.4635  0.101E-01      -1085.33  0.5089 -0.858E-02      -1485.74  0.4827 -0.122E-02
         30.1806    -7241.49  0.4063 -0.250E+00      -4580.72  0.3972 -0.262E-04      -1884.01  0.4635  0.101E-01      -1085.33  0.5089 -0.858E-02      -1485.78  0.4827 -0.122E-02
         30.2349    -6947.52  0.4090 -0.250E+00      -4580.74  0.3972 -0.259E-04      -1883.88  0.4635  0.101E-01      -1085.32  0.5089 -0.857E-02      -1485.83  0.4827 -0.122E-02
         30.3054    -6566.10  0.4125 -0.250E+00      -4580.77  0.3972 -0.256E-04      -1883.71  0.4635  0.101E-01      -1085.31  0.5089 -0.857E-02      -1485.89  0.4827 -0.122E-02
