 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 8.    Time:  14: 3: 1
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  15  -140.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.123E-03   20.00
  16  -150.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.123E-03   20.00
  17  -160.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.123E-03   20.00
  18  -170.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.123E-03   20.00
  19  -180.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.123E-03   20.00
  20  -190.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.123E-03   20.00
  21  -200.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04  0.1608E-02  0.0000E+00      -1   0.268E-02   20.00
  22  -210.0000   -4173.426 0.4038   0.9324E-04  0.1711E-04  0.3465E-02  0.0000E+00      -1   0.578E-02   20.00
  23  -220.0000   -3811.190 0.4098   0.1135E-03  0.1886E-04  0.3895E-02  0.0000E+00      -1   0.649E-02   20.00
  24  -230.0000   -3485.835 0.4167   0.1496E-03  0.2125E-04  0.4420E-02  0.0000E+00      -1   0.737E-02   20.00
  25  -240.0000   -3192.890 0.4229   0.1821E-03  0.2340E-04  0.4960E-02  0.0000E+00      -1   0.827E-02   20.00
  26  -250.0000   -2928.510 0.4294   0.2289E-03  0.2592E-04  0.5579E-02  0.0000E+00      -1   0.930E-02   20.00
  27  -260.0000   -2689.363 0.4361   0.2888E-03  0.2878E-04  0.6233E-02  0.0000E+00      -1   0.104E-01   20.00
  28  -270.0000   -2472.574 0.4421   0.3431E-03  0.3137E-04  0.6914E-02  0.0000E+00      -1   0.115E-01   20.00
  29  -280.0000   -2275.637 0.4488   0.4373E-03  0.3476E-04  0.7774E-02  0.0000E+00      -1   0.130E-01   20.00
  30  -290.0000   -2096.366 0.4554   0.5378E-03  0.3820E-04  0.8606E-02  0.0000E+00      -1   0.143E-01   20.00
  31  -300.0000   -1932.855 0.4613   0.6295E-03  0.4133E-04  0.9478E-02  0.0000E+00      -1   0.158E-01   20.00
  32  -310.0000   -1783.431 0.4682   0.8044E-03  0.4569E-04  0.1063E-01  0.0000E+00      -1   0.177E-01   20.00
  33  -320.0000   -1646.627 0.4747   0.9738E-03  0.4983E-04  0.1171E-01  0.0000E+00      -1   0.195E-01   20.00
  34  -330.0000   -1521.146 0.4806   0.1129E-02  0.5362E-04  0.1283E-01  0.0000E+00      -1   0.214E-01   20.00
