Site,xval,mean,upper,lower
MAT,1,0.134730861238345,0.155478436970391,0.113983285506299
MAT,2,0.198404806568084,0.246616057508991,0.150193555627178
MAT,3,0.101834643525926,0.133100668191892,0.0705686188599609
MAT,4,0.061681871197281,0.0640238478234046,0.0593398945711573
PAS,1.2,0.217515809378722,0.259773663686022,0.175257955071422
PAS,2.2,0.266102199661846,0.313015226695046,0.219189172628646
PAS,3.2,0.271073827884847,0.403209965935652,0.138937689834042
PAS,4.2,0.162352970348742,0.190649344585135,0.13405659611235
