Site,xval,mean,upper,lower
MAT,1,0.133016467882243,0.151792585662978,0.114240350101507
MAT,2,0.207999043694249,0.296238039298611,0.119760048089886
MAT,3,0.101834643525926,0.133100668191892,0.0705686188599609
MAT,4,0.061681871197281,0.0640238478234046,0.0593398945711573
PAS,1.2,0.170194751106459,0.212600202333325,0.127789299879593
PAS,2.2,0.240858075930999,0.298874713160963,0.182841438701035
PAS,3.2,NaN,NaN,NaN
PAS,4.2,0.149931867360861,0.182754648968824,0.117109085752898
