Site,xval,mean,upper,lower
MAT,1,0.1417059271377,0.158561033936734,0.124850820338666
MAT,2,0.206481975946096,0.293799526620805,0.119164425271388
MAT,3,0.0660570239987524,0.0677442820758303,0.0643697659216744
MAT,4,0.0920854109860878,0.135495966897222,0.0486748550749538
PAS,1.2,0.168430478759995,0.20949598843416,0.127364969085831
PAS,2.2,0.124943401666678,0.124943401666678,0.124943401666678
PAS,3.2,0.125988420789192,0.146630325925966,0.105346515652419
PAS,4.2,0.255949528379786,0.311834175594866,0.200064881164705
