 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 8.    Time:   1: 4:18
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46  -450.0000   -1000.239 0.5154   0.3150E-02  0.8284E-04 -0.1015E-01  0.0000E+00      -1  -0.169E-01   20.00
  47  -460.0000   -1022.701 0.5137   0.3022E-02  0.8125E-04 -0.9880E-02  0.0000E+00      -1  -0.165E-01   20.00
  48  -470.0000   -1045.656 0.5119   0.2890E-02  0.7963E-04 -0.9593E-02  0.0000E+00      -1  -0.160E-01   20.00
  49  -480.0000   -1069.115 0.5101   0.2756E-02  0.7798E-04 -0.9287E-02  0.0000E+00      -1  -0.155E-01   20.00
  50  -490.0000   -1093.090 0.5083   0.2618E-02  0.7628E-04 -0.8961E-02  0.0000E+00      -1  -0.149E-01   20.00
  51  -500.0000   -1117.601 0.5064   0.2478E-02  0.7456E-04 -0.8614E-02  0.0000E+00      -1  -0.144E-01   20.00
  52  -510.0000   -1142.659 0.5045   0.2334E-02  0.7279E-04 -0.8244E-02  0.0000E+00      -1  -0.137E-01   20.00
  53  -520.0000   -1168.280 0.5025   0.2187E-02  0.7098E-04 -0.7850E-02  0.0000E+00      -1  -0.131E-01   20.00
  54  -530.0000   -1194.483 0.5005   0.2037E-02  0.6913E-04 -0.7477E-02  0.0000E+00      -1  -0.125E-01   20.00
  55  -540.0000   -1221.283 0.4987   0.1934E-02  0.6764E-04 -0.7203E-02  0.0000E+00      -1  -0.120E-01   20.00
  56  -550.0000   -1248.696 0.4971   0.1861E-02  0.6636E-04 -0.7017E-02  0.0000E+00      -1  -0.117E-01   20.00
  57  -560.0000   -1276.742 0.4954   0.1785E-02  0.6504E-04 -0.6847E-02  0.0000E+00      -1  -0.114E-01   20.00
  58  -570.0000   -1305.438 0.4936   0.1708E-02  0.6370E-04 -0.6663E-02  0.0000E+00      -1  -0.111E-01   20.00
  59  -580.0000   -1334.803 0.4919   0.1629E-02  0.6233E-04 -0.6465E-02  0.0000E+00      -1  -0.108E-01   20.00
  60  -590.0000   -1364.857 0.4900   0.1548E-02  0.6092E-04 -0.6252E-02  0.0000E+00      -1  -0.104E-01   20.00
  61  -600.0000   -1395.621 0.4882   0.1465E-02  0.5948E-04 -0.6023E-02  0.0000E+00      -1  -0.100E-01   20.00
  62  -610.0000   -1427.116 0.4863   0.1380E-02  0.5800E-04 -0.5777E-02  0.0000E+00      -1  -0.963E-02   20.00
  63  -620.0000   -1459.363 0.4843   0.1294E-02  0.5650E-04 -0.5512E-02  0.0000E+00      -1  -0.919E-02   20.00
  64  -630.0000   -1492.384 0.4823   0.1205E-02  0.5495E-04 -0.5237E-02  0.0000E+00      -1  -0.873E-02   20.00
  65  -640.0000   -1526.204 0.4804   0.1123E-02  0.5347E-04 -0.5009E-02  0.0000E+00      -1  -0.835E-02   20.00
  66  -650.0000   -1560.847 0.4787   0.1080E-02  0.5242E-04 -0.4865E-02  0.0000E+00      -1  -0.811E-02   20.00
  67  -660.0000   -1596.336 0.4770   0.1036E-02  0.5135E-04 -0.4756E-02  0.0000E+00      -1  -0.793E-02   20.00
  68  -670.0000   -1632.701 0.4753   0.9911E-03  0.5025E-04 -0.4637E-02  0.0000E+00      -1  -0.773E-02   20.00
  69  -680.0000   -1669.965 0.4736   0.9449E-03  0.4912E-04 -0.4507E-02  0.0000E+00      -1  -0.751E-02   20.00
  70  -690.0000   -1708.158 0.4718   0.8976E-03  0.4796E-04 -0.4366E-02  0.0000E+00      -1  -0.728E-02   20.00
  71  -700.0000   -1747.306 0.4699   0.8491E-03  0.4678E-04 -0.4213E-02  0.0000E+00      -1  -0.702E-02   20.00
  72  -710.0000   -1787.442 0.4680   0.7994E-03  0.4557E-04 -0.4046E-02  0.0000E+00      -1  -0.674E-02   20.00
  73  -720.0000   -1828.597 0.4661   0.7485E-03  0.4432E-04 -0.3865E-02  0.0000E+00      -1  -0.644E-02   20.00
  74  -730.0000   -1870.801 0.4641   0.6962E-03  0.4304E-04 -0.3669E-02  0.0000E+00      -1  -0.611E-02   20.00
  75  -740.0000   -1914.086 0.4620   0.6426E-03  0.4173E-04 -0.3494E-02  0.0000E+00      -1  -0.582E-02   20.00
  76  -750.0000   -1958.491 0.4604   0.6151E-03  0.4084E-04 -0.1362E-02  0.0000E+00      -1  -0.227E-02   20.00
