 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 8.    Time:  10:45:29
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46  -450.0000   -2456.773 0.4345   0.2141E-03  0.3264E-04  0.1140E-02  0.0000E+00      -1   0.671E-03   20.00
  47  -460.0000   -2394.720 0.4365   0.2288E-03  0.3361E-04  0.1178E-02  0.0000E+00      -1   0.693E-03   20.00
  48  -470.0000   -2334.464 0.4388   0.2499E-03  0.3481E-04  0.1233E-02  0.0000E+00      -1   0.725E-03   20.00
  49  -480.0000   -2275.942 0.4410   0.2704E-03  0.3597E-04  0.1288E-02  0.0000E+00      -1   0.758E-03   20.00
  50  -490.0000   -2219.093 0.4431   0.2904E-03  0.3710E-04  0.1335E-02  0.0000E+00      -1   0.786E-03   20.00
  51  -500.0000   -2163.858 0.4452   0.3097E-03  0.3820E-04  0.1376E-02  0.0000E+00      -1   0.809E-03   20.00
  52  -510.0000   -2110.180 0.4472   0.3286E-03  0.3927E-04  0.1409E-02  0.0000E+00      -1   0.829E-03   20.00
  53  -520.0000   -2058.005 0.4492   0.3469E-03  0.4031E-04  0.1436E-02  0.0000E+00      -1   0.845E-03   20.00
  54  -530.0000   -2007.284 0.4511   0.3646E-03  0.4132E-04  0.1458E-02  0.0000E+00      -1   0.858E-03   20.00
  55  -540.0000   -1957.961 0.4530   0.3819E-03  0.4231E-04  0.1478E-02  0.0000E+00      -1   0.870E-03   20.00
  56  -550.0000   -1909.991 0.4549   0.4021E-03  0.4335E-04  0.1515E-02  0.0000E+00      -1   0.891E-03   20.00
  57  -560.0000   -1863.332 0.4572   0.4384E-03  0.4482E-04  0.1578E-02  0.0000E+00      -1   0.928E-03   20.00
  58  -570.0000   -1817.933 0.4594   0.4738E-03  0.4624E-04  0.1646E-02  0.0000E+00      -1   0.968E-03   20.00
  59  -580.0000   -1773.755 0.4615   0.5081E-03  0.4763E-04  0.1705E-02  0.0000E+00      -1   0.100E-02   20.00
  60  -590.0000   -1730.758 0.4636   0.5416E-03  0.4898E-04  0.1754E-02  0.0000E+00      -1   0.103E-02   20.00
  61  -600.0000   -1688.902 0.4657   0.5741E-03  0.5029E-04  0.1796E-02  0.0000E+00      -1   0.106E-02   20.00
  62  -610.0000   -1648.149 0.4677   0.6058E-03  0.5157E-04  0.1829E-02  0.0000E+00      -1   0.108E-02   20.00
  63  -620.0000   -1608.461 0.4696   0.6367E-03  0.5281E-04  0.1856E-02  0.0000E+00      -1   0.109E-02   20.00
