 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  25. 9.    Time:  14: 9:46
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46  -450.0000    -979.617 0.5170   0.3269E-02  0.8429E-04 -0.1022E-01  0.0000E+00      -1  -0.209E-02   20.00
  47  -460.0000   -1001.104 0.5153   0.3145E-02  0.8278E-04 -0.9974E-02  0.0000E+00      -1  -0.204E-02   20.00
  48  -470.0000   -1023.057 0.5136   0.3020E-02  0.8123E-04 -0.9716E-02  0.0000E+00      -1  -0.198E-02   20.00
  49  -480.0000   -1045.478 0.5119   0.2891E-02  0.7964E-04 -0.9439E-02  0.0000E+00      -1  -0.193E-02   20.00
  50  -490.0000   -1068.380 0.5102   0.2760E-02  0.7803E-04 -0.9143E-02  0.0000E+00      -1  -0.187E-02   20.00
  51  -500.0000   -1091.764 0.5084   0.2626E-02  0.7638E-04 -0.8830E-02  0.0000E+00      -1  -0.180E-02   20.00
  52  -510.0000   -1115.668 0.5066   0.2489E-02  0.7469E-04 -0.8499E-02  0.0000E+00      -1  -0.173E-02   20.00
  53  -520.0000   -1140.095 0.5047   0.2349E-02  0.7297E-04 -0.8143E-02  0.0000E+00      -1  -0.166E-02   20.00
  54  -530.0000   -1165.043 0.5028   0.2206E-02  0.7121E-04 -0.7766E-02  0.0000E+00      -1  -0.158E-02   20.00
  55  -540.0000   -1190.557 0.5008   0.2060E-02  0.6941E-04 -0.7401E-02  0.0000E+00      -1  -0.151E-02   20.00
  56  -550.0000   -1216.638 0.4990   0.1947E-02  0.6786E-04 -0.7117E-02  0.0000E+00      -1  -0.145E-02   20.00
  57  -560.0000   -1243.302 0.4974   0.1875E-02  0.6661E-04 -0.6927E-02  0.0000E+00      -1  -0.141E-02   20.00
  58  -570.0000   -1270.550 0.4957   0.1802E-02  0.6533E-04 -0.6766E-02  0.0000E+00      -1  -0.138E-02   20.00
  59  -580.0000   -1298.430 0.4941   0.1727E-02  0.6403E-04 -0.6593E-02  0.0000E+00      -1  -0.135E-02   20.00
  60  -590.0000   -1326.943 0.4923   0.1650E-02  0.6269E-04 -0.6405E-02  0.0000E+00      -1  -0.131E-02   20.00
  61  -600.0000   -1356.093 0.4906   0.1572E-02  0.6133E-04 -0.6204E-02  0.0000E+00      -1  -0.127E-02   20.00
  62  -610.0000   -1385.930 0.4888   0.1491E-02  0.5993E-04 -0.5989E-02  0.0000E+00      -1  -0.122E-02   20.00
  63  -620.0000   -1416.458 0.4869   0.1409E-02  0.5850E-04 -0.5756E-02  0.0000E+00      -1  -0.117E-02   20.00
  64  -630.0000   -1447.678 0.4850   0.1325E-02  0.5704E-04 -0.5508E-02  0.0000E+00      -1  -0.112E-02   20.00
  65  -640.0000   -1479.647 0.4831   0.1239E-02  0.5555E-04 -0.5243E-02  0.0000E+00      -1  -0.107E-02   20.00
  66  -650.0000   -1512.370 0.4811   0.1151E-02  0.5401E-04 -0.4999E-02  0.0000E+00      -1  -0.102E-02   20.00
  67  -660.0000   -1545.868 0.4794   0.1099E-02  0.5288E-04 -0.4831E-02  0.0000E+00      -1  -0.986E-03   20.00
  68  -670.0000   -1580.143 0.4778   0.1056E-02  0.5184E-04 -0.4719E-02  0.0000E+00      -1  -0.963E-03   20.00
  69  -680.0000   -1615.261 0.4762   0.1013E-02  0.5078E-04 -0.4610E-02  0.0000E+00      -1  -0.941E-03   20.00
  70  -690.0000   -1651.225 0.4745   0.9681E-03  0.4969E-04 -0.4489E-02  0.0000E+00      -1  -0.916E-03   20.00
  71  -700.0000   -1688.040 0.4727   0.9225E-03  0.4857E-04 -0.4359E-02  0.0000E+00      -1  -0.890E-03   20.00
  72  -710.0000   -1725.774 0.4709   0.8758E-03  0.4743E-04 -0.4219E-02  0.0000E+00      -1  -0.861E-03   20.00
  73  -720.0000   -1764.433 0.4691   0.8279E-03  0.4626E-04 -0.4065E-02  0.0000E+00      -1  -0.830E-03   20.00
  74  -730.0000   -1804.046 0.4672   0.7789E-03  0.4506E-04 -0.3899E-02  0.0000E+00      -1  -0.796E-03   20.00
