PreTimes,PreVals,meanRunTimes,meanRun
"2016-07-01 16:30:00",0.1,"2016-07-01 16:32:44",0.513520133609677
"2016-07-01 16:40:00",0.4,"2016-07-01 16:42:44",0.174387116842986
"2016-07-01 16:50:00",0.3,"2016-07-01 16:52:44",0
"2016-07-01 17:00:00",0.5,"2016-07-01 17:02:44",0
"2016-07-01 17:10:00",0.2,"2016-07-01 17:12:44",0
"2016-07-01 17:20:00",0.9,"2016-07-01 17:22:44",0
"2016-07-01 17:30:00",1.6,"2016-07-01 17:32:44",0.174387116842986
"2016-07-01 17:40:00",0.5,"2016-07-01 17:42:44",0
"2016-07-01 17:50:00",0.1,"2016-07-01 17:52:44",0
"2016-07-01 18:00:00",0,"2016-07-01 18:02:44",0
"2016-07-01 18:10:00",0,"2016-07-01 18:12:44",0
"2016-07-01 18:20:00",0.2,"2016-07-01 18:22:44",0.343953625226334
"2016-07-01 18:30:00",0.5,"2016-07-01 18:32:44",0.174387116842986
"2016-07-01 18:40:00",0.3,"2016-07-01 18:42:44",0
"2016-07-01 18:50:00",0.2,"2016-07-01 18:52:44",0
"2016-07-01 19:00:00",0.1,"2016-07-01 19:02:44",0
"2016-07-01 19:10:00",0.1,"2016-07-01 19:12:44",0
"2016-07-01 19:20:00",0.1,"2016-07-01 19:22:44",0
"2016-07-01 19:30:00",0,"2016-07-01 19:32:44",0
"2016-07-01 19:40:00",0,"2016-07-01 19:42:44",0
"2016-07-01 19:50:00",0,"2016-07-01 19:52:44",0
"2016-07-01 20:00:00",0,"2016-07-01 20:02:44",0
"2016-07-01 20:10:00",0,"2016-07-01 20:12:44",0
"2016-07-01 20:20:00",0,"2016-07-01 20:22:44",0
"2016-07-01 20:30:00",0.1,"2016-07-01 20:32:44",0
"2016-07-01 20:40:00",0,"2016-07-01 20:42:44",0
