PreTimes,PreVals,meanRunTimes,meanRun
19/06/16 10:35,6.4,19/06/16 10:37,0.896333869527664
19/06/16 10:45,4.7,19/06/16 10:47,0
19/06/16 10:55,1.9,19/06/16 10:57,0
19/06/16 11:05,0.7,19/06/16 11:07,0
19/06/16 11:15,0.2,19/06/16 11:17,0
19/06/16 11:25,0.1,19/06/16 11:27,0
19/06/16 11:35,0,19/06/16 11:37,0
