Site Name ,PASTURELOWER
Site Number ,6
Logger ,Capacitive Water Level
Logger Serial Number ,6568


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

136,13/11/2016 , 21:35:24,884,261.4
137,13/11/2016 , 21:35:34,884,261.4
138,13/11/2016 , 21:35:44,886,262.4
139,13/11/2016 , 21:35:54,900,269.3
140,13/11/2016 , 21:36:04,900,269.3
141,13/11/2016 , 21:36:14,909,273.8
142,13/11/2016 , 21:36:24,915,276.7
143,13/11/2016 , 21:36:34,915,276.7
144,13/11/2016 , 21:36:44,918,278.2
145,13/11/2016 , 21:36:54,931,284.7
146,13/11/2016 , 21:37:04,931,284.7
147,13/11/2016 , 21:37:14,932,285.1
148,13/11/2016 , 21:37:24,947,292.6
149,13/11/2016 , 21:37:34,947,292.6
150,13/11/2016 , 21:37:44,949,293.6
151,13/11/2016 , 21:37:54,963,300.5
152,13/11/2016 , 21:38:04,963,300.5
153,13/11/2016 , 21:38:14,963,300.5
154,13/11/2016 , 21:38:24,963,300.5
155,13/11/2016 , 21:38:34,445,44.1
156,13/11/2016 , 21:38:44,437,40.1
157,13/11/2016 , 21:38:54,439,41.1
158,13/11/2016 , 21:39:04,443,43.1
159,13/11/2016 , 21:39:14,443,43.1
