Site Name ,PASTUREMIDDLE
Site Number ,5
Logger ,Capacitive Water Level
Logger Serial Number ,6567


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

135,12/11/2016 , 22:14:16,950,309
136,12/11/2016 , 22:14:26,965,317.3
137,12/11/2016 , 22:14:36,966,317.9
138,12/11/2016 , 22:14:46,966,317.9
139,12/11/2016 , 22:14:56,966,317.9
140,12/11/2016 , 22:15:06,966,317.9
141,12/11/2016 , 22:15:16,966,317.9
142,12/11/2016 , 22:15:26,966,317.9
143,12/11/2016 , 22:15:36,966,317.9
144,12/11/2016 , 22:15:46,966,317.9
145,12/11/2016 , 22:15:56,966,317.9
146,12/11/2016 , 22:16:06,966,317.9
147,12/11/2016 , 22:16:16,966,317.9
148,12/11/2016 , 22:16:26,884,272.5
149,12/11/2016 , 22:16:36,441,27.3
150,12/11/2016 , 22:16:46,439,26.2
151,12/11/2016 , 22:16:56,443,28.4
