 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15: 9:17
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  46  -450.0000   -1727.314 0.4709   0.8739E-03  0.4739E-04 -0.8842E-03  0.0000E+00      -1  -0.884E-03   20.00
  47  -460.0000   -1727.421 0.4709   0.8738E-03  0.4738E-04 -0.8840E-03  0.0000E+00      -1  -0.884E-03   20.00
  48  -470.0000   -1727.550 0.4709   0.8736E-03  0.4738E-04 -0.8848E-03  0.0000E+00      -1  -0.885E-03   20.00
  49  -480.0000   -1727.678 0.4708   0.8734E-03  0.4737E-04 -0.8837E-03  0.0000E+00      -1  -0.884E-03   20.00
  50  -490.0000   -1727.785 0.4708   0.8733E-03  0.4737E-04 -0.8836E-03  0.0000E+00      -1  -0.884E-03   20.00
  51  -500.0000   -1727.913 0.4708   0.8731E-03  0.4737E-04 -0.8844E-03  0.0000E+00      -1  -0.884E-03   20.00
  52  -510.0000   -1728.042 0.4708   0.8730E-03  0.4736E-04 -0.8842E-03  0.0000E+00      -1  -0.884E-03   20.00
  53  -520.0000   -1728.170 0.4708   0.8728E-03  0.4736E-04 -0.8831E-03  0.0000E+00      -1  -0.883E-03   20.00
  54  -530.0000   -1728.278 0.4708   0.8727E-03  0.4736E-04 -0.8830E-03  0.0000E+00      -1  -0.883E-03   20.00
  55  -540.0000   -1728.406 0.4708   0.8725E-03  0.4735E-04 -0.8837E-03  0.0000E+00      -1  -0.884E-03   20.00
  56  -550.0000   -1728.534 0.4708   0.8724E-03  0.4735E-04 -0.8827E-03  0.0000E+00      -1  -0.883E-03   20.00
  57  -560.0000   -1728.641 0.4708   0.8722E-03  0.4735E-04 -0.8825E-03  0.0000E+00      -1  -0.883E-03   20.00
  58  -570.0000   -1728.770 0.4708   0.8721E-03  0.4734E-04 -0.8833E-03  0.0000E+00      -1  -0.883E-03   20.00
  59  -580.0000   -1728.899 0.4708   0.8719E-03  0.4734E-04 -0.8832E-03  0.0000E+00      -1  -0.883E-03   20.00
  60  -590.0000   -1729.027 0.4708   0.8718E-03  0.4733E-04 -0.8820E-03  0.0000E+00      -1  -0.882E-03   20.00
  61  -600.0000   -1729.134 0.4708   0.8716E-03  0.4733E-04 -0.8819E-03  0.0000E+00      -1  -0.882E-03   20.00
  62  -610.0000   -1729.263 0.4708   0.8715E-03  0.4733E-04 -0.8827E-03  0.0000E+00      -1  -0.883E-03   20.00
  63  -620.0000   -1729.391 0.4708   0.8713E-03  0.4732E-04 -0.8816E-03  0.0000E+00      -1  -0.882E-03   20.00
  64  -630.0000   -1729.499 0.4708   0.8712E-03  0.4732E-04 -0.8815E-03  0.0000E+00      -1  -0.881E-03   20.00
  65  -640.0000   -1729.628 0.4708   0.8710E-03  0.4732E-04 -0.8822E-03  0.0000E+00      -1  -0.882E-03   20.00
  66  -650.0000   -1729.756 0.4707   0.8709E-03  0.4731E-04 -0.8820E-03  0.0000E+00      -1  -0.882E-03   20.00
  67  -660.0000   -1729.884 0.4707   0.8707E-03  0.4731E-04 -0.8810E-03  0.0000E+00      -1  -0.881E-03   20.00
  68  -670.0000   -1729.992 0.4707   0.8706E-03  0.4730E-04 -0.8808E-03  0.0000E+00      -1  -0.881E-03   20.00
  69  -680.0000   -1730.120 0.4707   0.8704E-03  0.4730E-04 -0.8816E-03  0.0000E+00      -1  -0.882E-03   20.00
  70  -690.0000   -1730.249 0.4707   0.8703E-03  0.4730E-04 -0.8805E-03  0.0000E+00      -1  -0.881E-03   20.00
  71  -700.0000   -1730.356 0.4707   0.8701E-03  0.4729E-04 -0.8804E-03  0.0000E+00      -1  -0.880E-03   20.00
