 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 8.    Time:  22:27:15
 Units: L = mm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67    660.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   68    670.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   69    680.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   70    690.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   71    700.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   72    710.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   73    720.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   74    730.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   75    740.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   76    750.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   77    760.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   78    770.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   79    780.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   80    790.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   81    800.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   82    810.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   83    820.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   84    830.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   85    840.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   86    850.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   87    860.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   88    870.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   89    880.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   90    890.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   91    900.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   92    910.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   93    920.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   94    930.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   95    940.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   96    950.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   97    960.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   98    970.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
   99    980.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
  100    990.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
  101   1000.00     0.117     0.669       0.0   0.100E+01     0.588     0.000     1.000     1.000     1.000
end
