 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 2.    Time:  21:16:59
 Units: L = mm   , T = min  , M = mmol 



                               Node(  1)                      Node( 31)                      Node( 52)                      Node(101)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux  
         10.0001    -6189.32  0.3739 -0.110E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0002    -6189.10  0.3739 -0.110E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0003    -6188.79  0.3739 -0.110E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0005    -6188.40  0.3739 -0.110E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0008    -6187.82  0.3739 -0.110E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0010    -6187.23  0.3739 -0.110E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0011    -6186.07  0.3739 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0012    -6184.69  0.3739 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0014    -6182.81  0.3739 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0016    -6180.39  0.3740 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334  0.236E-04
         10.0019    -6177.22  0.3740 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334 -0.498E-03
         10.0023    -6173.12  0.3740 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334 -0.378E-03
         10.0028    -6167.78  0.3741 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334 -0.285E-03
         10.0034    -6160.84  0.3741 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334 -0.214E-03
         10.0042    -6151.82  0.3742 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334 -0.159E-03
         10.0053    -6140.09  0.3743 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.33  0.4334 -0.258E-03
         10.0066    -6127.90  0.3745 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.34  0.4334 -0.193E-03
         10.0084    -6112.79  0.3747 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.34  0.4334 -0.226E-03
         10.0108    -6093.40  0.3749 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.34  0.4334 -0.233E-03
         10.0138    -6068.22  0.3752 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.35  0.4334 -0.223E-03
         10.0177    -6035.53  0.3756 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.35  0.4334 -0.204E-03
         10.0228    -5993.02  0.3762 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.36  0.4334 -0.210E-03
         10.0295    -5937.78  0.3769 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.37  0.4334 -0.201E-03
         10.0382    -5865.97  0.3778 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.39  0.4334 -0.202E-03
         10.0494    -5772.64  0.3789 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.40  0.4334 -0.203E-03
         10.0640    -5651.34  0.3804 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.43  0.4334 -0.213E-03
         10.0830    -5493.71  0.3824 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.46  0.4334 -0.206E-03
         10.1077    -5288.91  0.3850 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.50  0.4334 -0.209E-03
         10.1398    -5022.86  0.3883 -0.520E+00      -4238.13  0.3934  0.555E-03      -3116.41  0.4159  0.515E-04      -2495.55  0.4334 -0.208E-03
