Site,Num,obsRunRateMax,hydRunRateMax
MAT,10,22.2271529602787,2.56736369747899
MAT,12,5.7481652472392,0.00870624666666667
MAT,13,9.01863862509429,0.00613357875
MAT,17,11.2717638902346,0.00545667214285714
MAT,25,9.01863862509427,0.00789753942857143
MAT,28,8.97140391263562,0.006066818
MAT,30,10.121583901435,0.00653050114285714
MAT,31,12.421943879034,0.00750252375
MAT,40,11.4963304944784,0.00302792228571429
MAT,41,3.22050396863844,0.00742857636363637
MAT,42,4.60071995519775,0.00757191428571429
MAT,51,27.1442477356668,3.97211387013158
MAT,54,8.97140391263562,0.008616853125
MAT,60,7.82122392383621,0.00614563371428571
MAT,66,6.90107993279668,0.00750579085714286
PAS,15,53.7341102426271,18.0362555956679
PAS,19,4.86386342713432,0.00661152342857143
PAS,20,11.812239751612,0.00712216114285714
PAS,25,21.8427696175828,10.3602
PAS,34,79.4140269284593,13.9992
PAS,37,6.92817836901366,2.62381843571429
PAS,40,56.895040545536,28.9275428571429
PAS,43,8.18784716337979,0.00699213942857143
PAS,56,51.1638325355754,2.60257715942857
PAS,57,5.86555899453526,0.00921458307692308
PAS,58,6.10439430180043,0.00652022742857143
PAS,72,49.101859359642,50.9617348101266
PAS,80,18.7606160760897,5.7924358383908
PAS,89,18.6850871164307,6.4902
PAS,98,9.41690430952121,0.314096112272727
