

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    10.00100 -0.100000E-04  0.000000E+00 -0.101354E-04  0.000000E+00 -0.139481E-05 -15425.745      0.000  -1442.900       1
    20.00000 -0.100000E-04  0.000000E+00 -0.101440E-04  0.000000E+00 -0.127879E-01 -15427.018      0.000  -1470.200       2
    30.00000 -0.100000E-04  0.000000E+00 -0.101147E-04  0.000000E+00 -0.251663E-01 -15428.137      0.000  -1482.257       3
    40.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.373060E-01 -11249.808      0.000  -1491.580       4
    50.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.492074E-01 -11761.460      0.000  -1499.306       5
    60.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.609064E-01 -12160.412      0.000  -1506.131       6
    70.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.724339E-01 -12519.043      0.000  -1512.448       7
    80.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.837598E-01 -12812.856      0.000  -1518.433       8
    90.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.949955E-01 -13057.310      0.000  -1525.082       9
   100.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.106154E+00 -13252.578      0.000  -1531.152      10
   110.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.117244E+00 -13413.479      0.000  -1536.812      11
   120.00000 -0.100010E+00  0.000000E+00 -0.100010E+00  0.000000E+00 -0.128268E+00 -13546.042      0.000  -1542.086      12
   130.00000 -0.110001E+01  0.000000E+00 -0.110001E+01  0.000000E+00 -0.139258E+00  -2409.827      0.000  -1547.195      13
   140.00000 -0.270001E+01  0.000000E+00 -0.270001E+01  0.000000E+00 -0.150188E+00  -1114.999      0.000  -1551.996      14
   150.00000 -0.320001E+01  0.000000E+00 -0.320001E+01  0.000000E+00 -0.161059E+00  -1465.207      0.000  -1556.553      15
   160.00000 -0.330001E+01  0.000000E+00 -0.330001E+01  0.000000E+00 -0.171875E+00  -2001.037      0.000  -1560.902      16
   170.00000 -0.350001E+01  0.000000E+00 -0.350001E+01  0.000000E+00 -0.182639E+00  -1963.437      0.000  -1565.068      17
   180.00000 -0.360001E+01  0.000000E+00 -0.360001E+01  0.000000E+00 -0.193353E+00  -2206.263      0.000  -1569.062      18
   190.00000 -0.370001E+01  0.000000E+00 -0.370001E+01  0.000000E+00 -0.204014E+00  -2298.235      0.000  -1572.889      19
   200.00000 -0.380001E+01  0.000000E+00 -0.380001E+01  0.000000E+00 -0.214626E+00  -2346.763      0.000  -1576.562      20
   210.00000 -0.390001E+01  0.000000E+00 -0.390001E+01  0.000000E+00 -0.225194E+00  -2375.155      0.000  -1580.102      21
   220.00000 -0.400001E+01  0.000000E+00 -0.400001E+01  0.000000E+00 -0.235709E+00  -2388.248      0.000  -1583.478      22
   230.00000 -0.410001E+01  0.000000E+00 -0.410001E+01  0.000000E+00 -0.246184E+00  -2394.738      0.000  -1586.745      23
   240.00000 -0.410001E+01  0.000000E+00 -0.410001E+01  0.000000E+00 -0.256620E+00  -2728.042      0.000  -1589.895      24
   250.00000 -0.410001E+01  0.000000E+00 -0.410001E+01  0.000000E+00 -0.267018E+00  -2880.921      0.000  -1592.936      25
   260.00000 -0.410001E+01  0.000000E+00 -0.410001E+01  0.000000E+00 -0.277381E+00  -3046.755      0.000  -1595.871      26
   270.00000 -0.410001E+01  0.000000E+00 -0.410001E+01  0.000000E+00 -0.287708E+00  -3186.308      0.000  -1598.702      27
   280.00000 -0.420001E+01  0.000000E+00 -0.420001E+01  0.000000E+00 -0.298015E+00  -2836.514      0.000  -1601.481      28
   290.00000 -0.420001E+01  0.000000E+00 -0.420001E+01  0.000000E+00 -0.308286E+00  -3118.980      0.000  -1604.145      29
end
