Date,Site,Location,Point,Type,Soil Water Content (g),Gravimetric Water Content (g/g),Dry Bulk Density (g/cm^3),Volumetric Water Content
6/30/16,MAT,Lower,C,spatial ,36,0.5504587156,0.6282420749,0.3458213256
6/30/16,MAT,Lower,D,spatial ,47.9,0.7970049917,0.5773294909,0.4601344861
7/3/16,PAS,Upper,A,depth,33.1,0.4436997319,0.7166186359,0.3179634966
7/3/16,PAS,Upper,B,depth,36.9,0.4251152074,0.8338136407,0.3544668588
7/3/16,PAS,Upper,C,depth,40.5,0.4175257732,0.9317963497,0.3890489914
7/3/16,PAS,Upper,D,depth,43.2,0.4394710071,0.944284342,0.4149855908
7/6/16,MAT,Upper,A,depth,28,0.5090909091,0.5283381364,0.2689721422
7/6/16,MAT,Upper,B,depth,40,0.4454342984,0.8626320845,0.3842459174
7/6/16,MAT,Upper,C,depth,35.6,0.4091954023,0.8357348703,0.3419788665
7/6/16,MAT,Upper,D,depth,40.5,0.3655234657,1.064361191,0.3890489914
7/6/16,MAT,Middle,A,depth,39,0.5172413793,0.7243035543,0.3746397695
7/6/16,MAT,Middle,B,depth,33.6,0.4438573316,0.7271853987,0.3227665706
7/6/16,MAT,Middle,C,depth,32.9,0.3949579832,0.800192123,0.3160422671
7/6/16,MAT,Middle,D,depth,33.3,0.3950177936,0.8097982709,0.3198847262
7/6/16,MAT,Lower,A,depth,36.5,0.5572519084,0.6292026897,0.3506243996
7/6/16,MAT,Lower,B,depth,33.2,0.4356955381,0.7319884726,0.3189241114
7/6/16,MAT,Lower,C,depth,34.9,0.4039351852,0.8299711816,0.3352545629
7/6/16,MAT,Lower,D,depth,33.4,0.3852364475,0.8328530259,0.320845341
7/14/16,MAT,Upper,A,spatial ,38.1,0.5925349922,0.6176753122,0.3659942363
7/14/16,MAT,Upper,B,spatial ,39,0.6678082192,0.5609990394,0.3746397695
7/14/16,MAT,Upper,C,spatial ,38.7,0.7166666667,0.5187319885,0.3717579251
7/14/16,MAT,Upper,D,spatial ,20.6,0.5309278351,0.3727185399,0.1978866475
7/14/16,MAT,Middle,A,spatial ,31.8,0.6570247934,0.46493756,0.3054755043
7/14/16,MAT,Middle,B,spatial ,37.7,0.6768402154,0.53506244,0.3621517771
7/14/16,MAT,Middle,C,spatial ,46.4,0.6638054363,0.6714697406,0.4457252642
7/14/16,MAT,Middle,D,spatial ,35.7,0.5852459016,0.585975024,0.3429394813
7/14/16,MAT,Lower,A,spatial ,42.8,0.7217537943,0.5696445725,0.4111431316
7/14/16,MAT,Lower,B,spatial ,40.6,0.6323987539,0.6167146974,0.3900096061
7/14/16,MAT,Lower,C,spatial ,36.9,0.6,0.590778098,0.3544668588
7/14/16,MAT,Lower,D,spatial ,43.7,0.5609756098,0.7483189241,0.4197886647
7/16/16,PAS,Upper,A,depth,48.3,0.5290251917,0.8770413064,0.4639769452
7/16/16,PAS,Upper,B,depth,37.7,0.4908854167,0.7377521614,0.3621517771
7/16/16,PAS,Upper,C,depth,39.4,0.5184210526,0.730067243,0.3784822286
7/16/16,PAS,Upper,D,depth,40.4,0.5580110497,0.6954851105,0.3880883766
7/17/16,PAS,Middle,A,depth,41.9,0.4671125975,0.8616714697,0.4024975985
7/17/16,PAS,Middle,B,depth,36.3,0.445398773,0.7829010567,0.34870317
7/17/16,PAS,Middle,C,depth,47.2,0.4952780693,0.9154658982,0.4534101825
7/17/16,PAS,Middle,D,depth,32.2,0.5015576324,0.6167146974,0.3093179635
7/17/16,PAS,Lower,A,depth,55.4,0.6054644809,0.878962536,0.5321805956
7/17/16,PAS,Lower,B,depth,47,0.5371428571,0.8405379443,0.4514889529
7/17/16,PAS,Lower,C,depth,41.4,0.5549597855,0.7166186359,0.3976945245
7/17/16,PAS,Lower,D,depth,42.2,0.541025641,0.7492795389,0.4053794428
7/19/16,MAT,Upper,A,spatial ,40,0.5988023952,0.641690682,0.3842459174
7/19/16,MAT,Upper,B,spatial ,47.7,0.6579310345,0.6964457253,0.4582132565
7/19/16,MAT,Upper,C,spatial ,25.6,0.7293447293,0.3371757925,0.2459173871
7/19/16,MAT,Upper,D,spatial ,42.3,0.7862453532,0.5168107589,0.4063400576
7/19/16,MAT,Middle,A,spatial ,44.6,0.6290550071,0.6810758886,0.4284341979
7/19/16,MAT,Middle,B,spatial ,48.2,0.7291981846,0.6349663785,0.4630163305
7/19/16,MAT,Middle,C,spatial ,44.9,0.5669191919,0.7608069164,0.4313160423
7/19/16,MAT,Middle,D,spatial ,48.6,0.6657534247,0.7012487992,0.4668587896
7/19/16,MAT,Lower,A,spatial ,44.5,0.7259380098,0.5888568684,0.4274735831
7/19/16,MAT,Lower,B,spatial ,36.4,0.6330434783,0.5523535062,0.3496637848
7/19/16,MAT,Lower,C,spatial ,35.6,0.704950495,0.4851104707,0.3419788665
7/19/16,MAT,Lower,D,spatial ,37.3,0.752016129,0.4764649376,0.358309318
7/21/16,PAS,Upper,A,spatial ,44.5,0.5611601513,0.7617675312,0.4274735831
7/21/16,PAS,Upper,B,spatial ,41.9,0.5204968944,0.7732949087,0.4024975985
7/21/16,PAS,Upper,C,spatial ,36.2,0.5142045455,0.6762728146,0.3477425552
7/21/16,PAS,Upper,D,spatial ,41.9,0.5297092288,0.7598463016,0.4024975985
7/21/16,PAS,Middle,A,spatial ,45.8,0.5282583622,0.8328530259,0.4399615754
7/21/16,PAS,Middle,B,spatial ,46.6,0.5325714286,0.8405379443,0.4476464938
7/21/16,PAS,Middle,C,spatial ,48.4,0.5634458673,0.8251681076,0.46493756
7/21/16,PAS,Middle,D,spatial ,47.6,0.5964912281,0.7665706052,0.4572526417
7/21/16,PAS,Lower,A,spatial ,53.3,0.6255868545,0.818443804,0.5120076849
7/21/16,PAS,Lower,B,spatial ,49.1,0.6054254007,0.7790585975,0.4716618636
7/21/16,PAS,Lower,C,spatial ,52.2,0.5972540046,0.8395773295,0.5014409222
7/21/16,PAS,Lower,D,spatial ,52.7,0.6170960187,0.8203650336,0.5062439962
7/24/16,MAT,Upper,A,spatial ,41.4,0.6320610687,0.6292026897,0.3976945245
7/24/16,MAT,Upper,B,spatial ,33.5,0.5826086957,0.5523535062,0.3218059558
7/24/16,MAT,Upper,C,spatial ,35.7,0.5979899497,0.5734870317,0.3429394813
7/24/16,MAT,Upper,D,spatial ,41.1,0.6372093023,0.6195965418,0.3948126801
7/24/16,MAT,Middle,A,spatial ,47.4,0.6092544987,0.7473583093,0.4553314121
7/24/16,MAT,Middle,B,spatial ,27.8,0.5571142285,0.4793467819,0.2670509126
7/24/16,MAT,Middle,C,spatial ,38.4,0.5408450704,0.6820365034,0.3688760807
7/24/16,MAT,Middle,D,spatial ,31.4,0.5740402194,0.525456292,0.3016330451
7/24/16,MAT,Lower,A,spatial ,41.4,0.6234939759,0.6378482229,0.3976945245
7/24/16,MAT,Lower,B,spatial ,48.9,0.652870494,0.7195004803,0.469740634
7/24/16,MAT,Lower,C,spatial ,48.1,0.5746714456,0.8040345821,0.4620557157
7/24/16,MAT,Lower,D,spatial ,46.8,0.5707317073,0.7877041306,0.4495677233
