Date,Site,Location,Point,Type,Soil Water Content (g),Gravimetric Water Content (g/g),Dry Bulk Density (g/cm^3),Volumetric Water Content,Porosity (%),,,Averages: ,MAT,n,PAS,n
6/28/16,PAS,Middle,A,spatial ,43.5,0.4844098,0.862632085,0.417867435,67.44784585,,,,,,,
6/28/16,PAS,Middle,B,spatial ,50.6,0.789391576,0.615754083,0.486071086,76.76399687,,,,,,,
6/28/16,PAS,Middle,C,spatial ,46.1,0.587261147,0.754082613,0.44284342,71.54405234,,,,,,,
6/28/16,PAS,Middle,D,spatial ,38.8,0.476658477,0.781940442,0.37271854,70.49281351,,,,,,,
6/28/16,PAS,Lower,A,spatial ,49.4,0.588796186,0.805955812,0.474543708,69.58657313,,,,,,,
6/28/16,PAS,Lower,B,spatial ,39.3,0.521220159,0.724303554,0.377521614,72.66779042,,,,,,,
6/28/16,PAS,Lower,C,spatial ,42.4,0.515815085,0.78962536,0.407300672,70.2028166,,,,,,,
6/28/16,PAS,Lower,D,spatial ,36.9,0.553223388,0.640730067,0.354466859,75.82150691,,,,,,,
6/30/16,MAT,Upper,A,spatial ,39.7,0.514248705,0.741594621,0.381364073,72.01529732,,,,,,,
6/30/16,MAT,Upper,B,spatial ,31,0.437235543,0.681075889,0.297790586,74.29902306,,,,,,,
6/30/16,MAT,Upper,C,spatial ,35.1,0.55450237,0.608069164,0.337175793,77.05399381,,,,,,,
6/30/16,MAT,Upper,D,spatial ,35.8,0.514367816,0.668587896,0.343900096,74.77026808,,,,,,,
6/30/16,MAT,Middle,A,spatial ,45.7,0.620923913,0.707012488,0.439000961,73.32028347,,,,,,,
6/30/16,MAT,Middle,B,spatial ,44.4,0.597577389,0.713736792,0.426512968,73.06653615,,,,,,,
6/30/16,MAT,Middle,C,spatial ,40.7,0.574047955,0.681075889,0.390970221,74.29902306,,,,,,,
6/30/16,MAT,Middle,D,spatial ,39.1,0.457309942,0.821325648,0.375600384,69.00657932,,,,,,,
6/30/16,MAT,Lower,A,spatial ,33.7,0.585069444,0.553314121,0.323727185,79.12022185,,,,,,,
6/30/16,MAT,Lower,B,spatial ,19,0.584615385,0.312199808,0.182516811,88.21887517,,,,,,,
6/30/16,MAT,Lower,C,spatial ,36,0.550458716,0.628242075,0.345821326,76.29275189,,,,,,,
6/30/16,MAT,Lower,D,spatial ,47.9,0.797004992,0.577329491,0.460134486,78.21398147,,,,,,,
07/03/16,PAS,Upper,A,depth,33.1,0.443699732,0.716618636,0.317963497,72.95778732,,,,,,,
07/03/16,PAS,Upper,B,depth,36.9,0.425115207,0.833813641,0.354466859,68.5353343,,,,,,,
07/03/16,PAS,Upper,C,depth,40.5,0.417525773,0.93179635,0.389048991,64.83787358,,,,,,,
07/03/16,PAS,Upper,D,depth,43.2,0.439471007,0.944284342,0.414985591,64.3666286,,,,,,,
07/06/16,MAT,Upper,A,depth,28,0.509090909,0.528338136,0.268972142,80.06271185,,,,,,,
07/06/16,MAT,Upper,B,depth,40,0.445434298,0.862632085,0.384245917,67.44784585,,,,,,,
07/06/16,MAT,Upper,C,depth,35.6,0.409195402,0.83573487,0.341978867,68.46283509,,,,,,,
07/06/16,MAT,Upper,D,depth,40.5,0.365523466,1.064361191,0.389048991,59.83542675,,,,,,,
07/06/16,MAT,Middle,A,depth,39,0.517241379,0.724303554,0.37463977,72.66779042,,,,,,,
07/06/16,MAT,Middle,B,depth,33.6,0.443857332,0.727185399,0.322766571,72.55904155,,,,,,,
07/06/16,MAT,Middle,C,depth,32.9,0.394957983,0.800192123,0.316042267,69.80407083,,,,,,,
07/06/16,MAT,Middle,D,depth,33.3,0.395017794,0.809798271,0.319884726,69.44157468,,,,,,,
07/06/16,MAT,Lower,A,depth,36.5,0.557251908,0.62920269,0.3506244,76.25650226,,,,,,,
07/06/16,MAT,Lower,B,depth,33.2,0.435695538,0.731988473,0.318924111,72.37779347,,,,,,,
07/06/16,MAT,Lower,C,depth,34.9,0.403935185,0.829971182,0.335254563,68.68033275,,,,,,,
07/06/16,MAT,Lower,D,depth,33.4,0.385236448,0.832853026,0.320845341,68.57158392,,,,,,,
7/14/16,MAT,Upper,A,spatial ,38.1,0.592534992,0.617675312,0.365994236,76.69149766,,,,,,,
7/14/16,MAT,Upper,B,spatial ,39,0.667808219,0.560999039,0.37463977,78.83022494,,,,,,,
7/14/16,MAT,Upper,C,spatial ,38.7,0.716666667,0.518731989,0.371757925,80.42520796,,,,,,,
7/14/16,MAT,Upper,D,spatial ,20.6,0.530927835,0.37271854,0.197886648,85.93514943,,,,,,,
7/14/16,MAT,Middle,A,spatial ,31.8,0.657024793,0.46493756,0.305475504,82.45518642,,,,,,,
7/14/16,MAT,Middle,B,spatial ,37.7,0.676840215,0.53506244,0.362151777,79.80896453,,,,,,,
7/14/16,MAT,Middle,C,spatial ,46.4,0.663805436,0.671469741,0.445725264,74.66151921,,,,,,,
7/14/16,MAT,Middle,D,spatial ,35.7,0.585245902,0.585975024,0.342939481,77.88773494,,,,,,,
7/14/16,MAT,Lower,A,spatial ,42.8,0.721753794,0.569644573,0.411143132,78.50397838,,,,,,,
7/14/16,MAT,Lower,B,spatial ,40.6,0.632398754,0.616714697,0.390009606,76.72774728,,,,,,,
7/14/16,MAT,Lower,C,spatial ,36.9,0.6,0.590778098,0.354466859,77.70648687,,,,,,,
7/14/16,MAT,Lower,D,spatial ,43.7,0.56097561,0.748318924,0.419788665,71.76155004,,,,,,,
7/16/16,PAS,Upper,A,depth,48.3,0.529025192,0.877041306,0.463976945,66.90410166,,,,,,,
7/16/16,PAS,Upper,B,depth,37.7,0.490885417,0.737752161,0.362151777,72.16029581,,,,,,,
7/16/16,PAS,Upper,C,depth,39.4,0.518421053,0.730067243,0.378482229,72.45029272,,,,,,,
7/16/16,PAS,Upper,D,depth,40.4,0.55801105,0.695485111,0.388088377,73.75527883,,,,,,,
7/17/16,PAS,Middle,A,depth,41.9,0.467112598,0.86167147,0.402497599,67.48409547,,,,,,,
7/17/16,PAS,Middle,B,depth,36.3,0.445398773,0.782901057,0.34870317,70.45656389,,,,,,,
