"Plot Title: El Guabo 03-04-15"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
126,07/07/15 08:52:14 PM,124.00,,,,
127,07/07/15 08:53:20 PM,125.00,,,,
128,07/07/15 08:56:21 PM,126.00,,,,
129,07/07/15 08:58:50 PM,127.00,,,,
130,07/07/15 09:10:27 PM,128.00,,,,
131,07/07/15 09:12:52 PM,129.00,,,,
132,07/07/15 09:21:01 PM,130.00,,,,
133,07/07/15 09:26:55 PM,131.00,,,,
134,07/07/15 09:42:28 PM,132.00,,,,
135,07/07/15 09:45:18 PM,133.00,,,,
136,07/07/15 10:00:40 PM,134.00,,,,
137,07/07/15 10:08:03 PM,135.00,,,,
138,07/07/15 10:47:31 PM,136.00,,,,
139,07/07/15 10:53:08 PM,137.00,,,,
140,07/07/15 11:04:43 PM,138.00,,,,
141,07/07/15 11:16:43 PM,139.00,,,,
142,07/09/15 07:18:55 AM,140.00,,,,
143,07/09/15 10:47:38 AM,141.00,,,,
144,07/09/15 11:14:13 PM,142.00,,,,
145,07/10/15 03:35:53 AM,143.00,,,,
146,07/10/15 03:43:06 AM,144.00,,,,
147,07/10/15 03:44:04 AM,145.00,,,,
148,07/10/15 03:45:08 AM,146.00,,,,
149,07/10/15 03:45:38 AM,147.00,,,,
150,07/10/15 03:46:21 AM,148.00,,,,
151,07/10/15 03:46:37 AM,149.00,,,,
152,07/10/15 03:47:04 AM,150.00,,,,
153,07/10/15 03:47:15 AM,151.00,,,,
154,07/10/15 03:47:32 AM,152.00,,,,
155,07/10/15 03:47:40 AM,153.00,,,,
156,07/10/15 03:47:53 AM,154.00,,,,
157,07/10/15 03:48:02 AM,155.00,,,,
158,07/10/15 03:48:19 AM,156.00,,,,
159,07/10/15 03:48:27 AM,157.00,,,,
160,07/10/15 03:48:38 AM,158.00,,,,
161,07/10/15 03:48:45 AM,159.00,,,,
162,07/10/15 03:48:56 AM,160.00,,,,
163,07/10/15 03:49:03 AM,161.00,,,,
164,07/10/15 03:49:16 AM,162.00,,,,
165,07/10/15 03:49:23 AM,163.00,,,,
166,07/10/15 03:49:34 AM,164.00,,,,
167,07/10/15 03:49:40 AM,165.00,,,,
168,07/10/15 03:49:50 AM,166.00,,,,
169,07/10/15 03:49:55 AM,167.00,,,,
170,07/10/15 03:50:06 AM,168.00,,,,
171,07/10/15 03:50:13 AM,169.00,,,,
172,07/10/15 03:50:29 AM,170.00,,,,
173,07/10/15 03:50:39 AM,171.00,,,,
174,07/10/15 03:50:58 AM,172.00,,,,
175,07/10/15 03:51:06 AM,173.00,,,,
176,07/10/15 03:51:20 AM,174.00,,,,
177,07/10/15 03:51:28 AM,175.00,,,,
178,07/10/15 03:51:40 AM,176.00,,,,
179,07/10/15 03:51:49 AM,177.00,,,,
180,07/10/15 03:52:03 AM,178.00,,,,
181,07/10/15 03:52:10 AM,179.00,,,,
182,07/10/15 03:52:23 AM,180.00,,,,
183,07/10/15 03:52:34 AM,181.00,,,,
184,07/10/15 03:52:45 AM,182.00,,,,
185,07/10/15 03:52:53 AM,183.00,,,,
186,07/10/15 03:53:06 AM,184.00,,,,
187,07/10/15 03:53:13 AM,185.00,,,,
188,07/10/15 03:53:45 AM,186.00,,,,
189,07/10/15 03:53:56 AM,187.00,,,,
190,07/10/15 03:54:11 AM,188.00,,,,
191,07/10/15 03:54:18 AM,189.00,,,,
192,07/10/15 03:54:34 AM,190.00,,,,
193,07/10/15 03:54:41 AM,191.00,,,,
194,07/10/15 03:54:53 AM,192.00,,,,
