"Plot Title: El guabo novalinx"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","End Of File"
1,07/09/14 05:37:56 PM,0.00,,,
2,07/09/14 05:38:01 PM,,Logged,,
3,07/11/14 05:15:47 PM,1.00,,,
4,07/11/14 05:25:31 PM,2.00,,,
5,07/12/14 10:25:00 PM,3.00,,,
6,07/12/14 10:43:56 PM,4.00,,,
7,07/12/14 11:00:06 PM,5.00,,,
8,07/12/14 11:18:14 PM,6.00,,,
9,07/12/14 11:42:13 PM,7.00,,,
10,07/13/14 01:58:21 AM,8.00,,,
11,07/14/14 07:39:44 PM,9.00,,,
12,07/14/14 07:41:28 PM,10.00,,,
13,07/14/14 07:43:31 PM,11.00,,,
14,07/14/14 07:46:10 PM,12.00,,,
15,07/14/14 07:51:56 PM,13.00,,,
16,07/14/14 08:00:57 PM,14.00,,,
17,07/14/14 08:03:06 PM,15.00,,,
18,07/14/14 08:11:12 PM,16.00,,,
19,07/14/14 08:22:37 PM,17.00,,,
20,07/15/14 08:47:37 PM,18.00,,,
21,07/15/14 08:51:50 PM,19.00,,,
22,07/15/14 08:58:33 PM,20.00,,,
23,07/17/14 09:59:23 PM,21.00,,,
24,07/18/14 03:38:33 PM,22.00,,,
25,07/18/14 03:39:36 PM,23.00,,,
26,07/18/14 03:40:14 PM,24.00,,,
27,07/18/14 03:40:46 PM,25.00,,,
28,07/18/14 03:41:39 PM,26.00,,,
29,07/18/14 03:42:41 PM,27.00,,,
30,07/18/14 03:43:55 PM,28.00,,,
31,07/18/14 03:45:15 PM,29.00,,,
32,07/18/14 03:47:58 PM,30.00,,,
33,07/18/14 03:55:36 PM,31.00,,,
34,07/18/14 03:58:51 PM,32.00,,,
35,07/18/14 04:03:19 PM,33.00,,,
36,07/21/14 05:26:35 PM,34.00,,,
37,07/21/14 05:30:32 PM,35.00,,,
38,07/21/14 05:32:04 PM,36.00,,,
39,07/21/14 05:33:18 PM,37.00,,,
40,07/21/14 05:34:29 PM,38.00,,,
41,07/21/14 05:35:39 PM,39.00,,,
42,07/21/14 05:38:49 PM,40.00,,,
43,07/21/14 05:40:46 PM,41.00,,,
44,07/21/14 06:13:08 PM,42.00,,,
45,07/23/14 03:50:29 PM,43.00,,,
46,07/23/14 03:50:45 PM,44.00,,,
47,07/23/14 03:50:50 PM,44.00,,Logged,Logged
