"Plot Title: El guabo novalinx"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,06/19/14 04:58:19 PM,0.00,,,,
2,06/19/14 04:58:24 PM,,Logged,,,
3,06/19/14 04:58:41 PM,1.00,,,,
4,06/19/14 06:18:12 PM,2.00,,,,
5,06/19/14 06:20:37 PM,3.00,,,,
6,06/19/14 06:25:38 PM,4.00,,,,
7,06/20/14 06:04:12 PM,5.00,,,,
8,06/20/14 06:23:43 PM,6.00,,,,
9,06/20/14 06:24:44 PM,7.00,,,,
10,06/20/14 06:25:29 PM,8.00,,,,
11,06/20/14 06:26:06 PM,9.00,,,,
12,06/20/14 06:26:41 PM,10.00,,,,
13,06/20/14 06:27:36 PM,11.00,,,,
14,06/20/14 06:28:26 PM,12.00,,,,
15,06/20/14 06:29:34 PM,13.00,,,,
16,06/20/14 06:31:13 PM,14.00,,,,
17,06/20/14 06:33:08 PM,15.00,,,,
18,06/20/14 06:34:31 PM,16.00,,,,
19,06/20/14 06:36:50 PM,17.00,,,,
20,06/20/14 06:42:52 PM,18.00,,,,
21,06/21/14 12:13:18 PM,19.00,,,,
22,06/21/14 12:52:45 PM,20.00,,,,
23,06/23/14 04:56:25 PM,21.00,,,,
24,06/23/14 05:00:48 PM,22.00,,,,
25,06/23/14 05:07:18 PM,23.00,,,,
26,06/23/14 05:09:48 PM,24.00,,,,
27,06/23/14 05:12:07 PM,25.00,,,,
28,06/23/14 05:20:16 PM,26.00,,,,
29,06/24/14 02:09:38 PM,27.00,,,,
30,06/24/14 03:13:11 PM,28.00,,,,
31,06/24/14 03:18:48 PM,29.00,,,,
32,06/24/14 03:19:39 PM,30.00,,,,
33,06/24/14 03:20:39 PM,31.00,,,,
34,06/24/14 03:21:18 PM,32.00,,,,
35,06/24/14 03:22:17 PM,33.00,,,,
36,06/24/14 03:23:18 PM,34.00,,,,
37,06/24/14 03:24:25 PM,35.00,,,,
38,06/24/14 03:25:24 PM,36.00,,,,
39,06/24/14 03:28:25 PM,37.00,,,,
40,06/24/14 03:29:45 PM,38.00,,,,
41,06/24/14 03:30:44 PM,39.00,,,,
42,06/24/14 03:31:44 PM,40.00,,,,
43,06/24/14 03:35:25 PM,41.00,,,,
44,06/24/14 03:43:02 PM,42.00,,,,
45,06/24/14 04:32:13 PM,43.00,,,,
46,06/24/14 06:41:39 PM,44.00,,,,
47,06/24/14 07:25:49 PM,45.00,,,,
48,06/24/14 07:45:03 PM,46.00,,,,
49,06/24/14 08:10:20 PM,47.00,,,,
50,06/24/14 09:50:03 PM,48.00,,,,
51,06/25/14 01:06:50 PM,49.00,,,,
52,06/25/14 01:22:30 PM,50.00,,,,
53,06/25/14 01:42:30 PM,51.00,,,,
54,06/25/14 01:47:06 PM,52.00,,,,
55,06/25/14 01:48:19 PM,53.00,,,,
56,06/25/14 02:01:32 PM,54.00,,,,
57,06/25/14 03:06:57 PM,55.00,,,,
58,06/25/14 03:43:11 PM,56.00,,,,
59,06/25/14 03:46:31 PM,57.00,,,,
60,06/25/14 03:48:21 PM,58.00,,,,
61,06/25/14 03:50:04 PM,59.00,,,,
62,06/25/14 03:51:19 PM,60.00,,,,
63,06/25/14 03:52:31 PM,61.00,,,,
64,06/25/14 03:54:08 PM,62.00,,,,
65,06/25/14 03:56:46 PM,63.00,,,,
66,06/25/14 06:09:05 PM,64.00,,,,
67,06/25/14 06:45:12 PM,65.00,,,,
68,06/25/14 06:51:36 PM,66.00,,,,
69,06/25/14 06:57:38 PM,67.00,,,,
70,06/25/14 07:06:01 PM,68.00,,,,
71,06/28/14 06:58:27 AM,69.00,,,,
72,06/28/14 12:04:34 PM,70.00,,,,
