"Plot Title: El Guabo 03-04-15"
"#","Date Time, GMT+00:00","Event","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,07/16/15 05:34:59 PM,0.00,,,,
2,07/16/15 05:35:03 PM,,Logged,,,
3,07/16/15 08:07:50 PM,1.00,,,,
4,07/17/15 09:43:38 AM,2.00,,,,
5,07/17/15 12:50:47 PM,3.00,,,,
6,07/17/15 12:56:14 PM,4.00,,,,
7,07/17/15 01:02:21 PM,5.00,,,,
8,07/17/15 01:04:51 PM,6.00,,,,
9,07/17/15 01:09:12 PM,7.00,,,,
10,07/17/15 01:11:45 PM,8.00,,,,
11,07/17/15 01:16:56 PM,9.00,,,,
12,07/17/15 01:19:06 PM,10.00,,,,
13,07/17/15 01:23:51 PM,11.00,,,,
14,07/17/15 01:25:47 PM,12.00,,,,
15,07/17/15 01:32:19 PM,13.00,,,,
16,07/17/15 01:33:41 PM,14.00,,,,
17,07/17/15 01:39:02 PM,15.00,,,,
18,07/17/15 01:44:36 PM,16.00,,,,
19,07/17/15 02:08:19 PM,17.00,,,,
20,07/17/15 07:03:13 PM,18.00,,,,
21,07/17/15 07:06:24 PM,19.00,,,,
22,07/17/15 07:09:50 PM,20.00,,,,
23,07/17/15 07:14:03 PM,21.00,,,,
24,07/17/15 07:16:27 PM,22.00,,,,
25,07/17/15 08:47:12 PM,23.00,,,,
26,07/17/15 08:53:17 PM,24.00,,,,
27,07/17/15 09:04:33 PM,25.00,,,,
28,07/17/15 10:52:50 PM,26.00,,,,
29,07/18/15 12:16:28 PM,27.00,,,,
30,07/18/15 12:17:17 PM,28.00,,,,
31,07/18/15 12:18:55 PM,29.00,,,,
32,07/18/15 12:19:34 PM,30.00,,,,
33,07/18/15 12:21:30 PM,31.00,,,,
34,07/18/15 12:23:43 PM,32.00,,,,
35,07/18/15 07:23:52 PM,33.00,,,,
36,07/18/15 07:43:05 PM,34.00,,,,
37,07/19/15 12:48:09 PM,35.00,,,,
38,07/19/15 01:27:16 PM,36.00,,,,
39,07/19/15 01:34:20 PM,37.00,,,,
40,07/19/15 01:34:55 PM,38.00,,,,
41,07/19/15 01:36:38 PM,39.00,,,,
42,07/19/15 01:37:26 PM,40.00,,,,
43,07/19/15 01:38:44 PM,41.00,,,,
44,07/19/15 01:41:32 PM,42.00,,,,
45,07/19/15 07:48:39 PM,43.00,,,,
46,07/19/15 07:49:17 PM,44.00,,,,
47,07/19/15 07:50:41 PM,45.00,,,,
48,07/19/15 07:51:13 PM,46.00,,,,
49,07/19/15 07:53:42 PM,47.00,,,,
50,07/19/15 07:55:27 PM,48.00,,,,
51,07/19/15 07:59:32 PM,49.00,,,,
52,07/19/15 07:59:56 PM,50.00,,,,
53,07/19/15 08:00:43 PM,51.00,,,,
54,07/19/15 08:01:00 PM,52.00,,,,
55,07/19/15 08:01:27 PM,53.00,,,,
56,07/19/15 08:01:38 PM,54.00,,,,
57,07/19/15 08:02:06 PM,55.00,,,,
58,07/19/15 08:02:19 PM,56.00,,,,
59,07/19/15 08:02:54 PM,57.00,,,,
60,07/19/15 08:03:09 PM,58.00,,,,
61,07/19/15 08:03:45 PM,59.00,,,,
62,07/19/15 08:04:04 PM,60.00,,,,
63,07/19/15 08:04:37 PM,61.00,,,,
